wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,segnour,segnour,1,N,N,,C/V\.'C/V\,NOUN,seigneur,9,,
2,1,2,",",",",1,Pnc,Pnc,,,PUNCT,",",9,,
3,1,3,oiiés,oiiés,1,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10,,
4,1,4,—,—,1,Pnc,Pnc,,,PUNCT,—,8,,
5,1,5,ke,ke,1,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
6,1,6,jhesus,jhesus,1,N,N,,C/V\.'C/V\,PROPN,Jésus,9,,
7,1,7,bien,bien,1,Adv,Adv,bien,C/V\,ADV,bien,10,,
8,1,8,vous,vous,1,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
9,1,9,fache,fache,1,Vfin,Vfin,faire,'C/V\.C/(e)\,VERB,faire,10,,
10,1,10,",",",",1,Pnc,Pnc,,,PUNCT,",",9,,
11,2,1,li,li,2,Det,Det,le,C/V\,DET,le,10,,
12,2,2,glorieus,glorieus,2,Adj,Adj,,C/V\.C/{V}\.'/V\,ADJ,glorieux,9,,
13,2,3,ki,ki,2,Qux,Qux,qui,C/V\,PRON,qui,10,,
14,2,4,nous,nous,2,Prn,Prn$$,nous,C/V\,PRON,nous,10,,
15,2,5,fist,fist,2,Vfin,Vfin,faire,C/V\,VERB,faire,10,,
16,2,6,a,a,2,Pre,Pre,à,/V\,ADP,à,10,,
17,2,7,s',s',2,Det,Det,son4,C/\,DET,son,10,,
18,2,8,ymage,ymage,2,N,N,,/V\.'C/V\.C/(e)\,NOUN,image,8,,
19,2,9,!,!,2,Pnc,Pnc,,,PUNCT,!,9,,
20,2,10,—,—,2,Pnc,Pnc,,,PUNCT,—,9,,
21,3,1,boine,boine,3,Adj,Adj,bon,'C/V\.C/(e)\,ADJ,bon,10,,
22,3,2,canchon,canchon,3,N,N,,C/V\.'C/V\,NOUN,chanson,9,,
23,3,3,estraite,estraite,3,Vpp,Vpp,extraire,/V\.'C/V\.C/(e)\,VERB,extraire,10,,
24,3,4,del,del,3,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
25,3,5,lignaige,lignaige,3,N,N,,C/V\.'C/V\.C/(e)\,NOUN,lignage,9,,
26,4,1,de,de,4,Pre,Pre,de,C/(e)\,ADP,de,10,,
27,4,2,charlemaine,charlemaine,4,N,N,,C/V\.C/e\.'C/V\.C/(e)\,NOUN,Charlemagne,2,,
28,4,3,a,a,4,Pre,Pre,à,/V\,ADP,à,10,,
29,4,4,l',l',4,Det,Det,le,C/\,DET,le,10,,
30,4,5,aduré,aduré,4,Vpp,Vpp,,/V\.C/V\.'C/V\,VERB,adurer,9,,
31,4,6,coraige,coraige,4,N,N,,C/V\.'C/V\.C/(e)\,NOUN,courage,9,,
32,4,7,",",",",4,Pnc,Pnc,,,PUNCT,",",9,,
33,5,1,et,et,5,Crd,Crd,et,/V\,CCONJ,et,10,,
34,5,2,de,de,5,Pre,Pre,de,C/(e)\,ADP,de,10,,
35,5,3,huon,huon,5,N,N,,C/V\.'C/V\,NOUN,huon,5,,
36,5,4,ki,ki,5,Qux,Qux,qui,C/V\,PRON,qui,10,,
37,5,5,tant,tant,5,QIs,QIs,tant,C/V\,ADV,tant,10,,
38,5,6,ot,ot,5,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
39,5,7,vaselaige,vaselaige,5,N,N,,C/V\.C/e\.'C/V\.C/(e)\,NOUN,vasselage,9,,
40,5,8,",",",",5,Pnc,Pnc,,,PUNCT,",",9,,
41,6,1,et,et,6,Crd,Crd,et,/V\,CCONJ,et,10,,
42,6,2,d',d',6,Pre,Pre,de,C/\,ADP,de,10,,
43,6,3,auberon,auberon,6,N,N,,/V\.C/V\.'C/V\,NOUN,auberon,9,,
44,6,4,",",",",6,Pnc,Pnc,,,PUNCT,",",9,,
45,6,5,le,le,6,Det,Det,le,C/(e)\,DET,le,10,,
46,6,6,petit,petit,6,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10,,
47,6,7,roi,roi,6,N,N,,C/V\,NOUN,roi,8,,
48,6,8,sauvaige,sauvaige,6,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,sauvage,9,,
49,7,1,que,que,7,Qux,Qux,que,C/(e)\,PRON,que,10,,
50,7,2,tout,tout,7,QIs,QIs,tout,C/V\,DET,tout,10,,
51,7,3,son,son,7,Det,Det,son4,C/V\,DET,son,10,,
52,7,4,tans,tans,7,N,N,,C/V\,NOUN,temps,3,,
53,7,5,conversa,conversa,7,Vfin,Vfin,,C/V\.C/V\.'C/V\,VERB,converser,9,,
54,7,6,en,en,7,Pre,Pre,en,/V\,ADP,en,10,,
55,7,7,boscage,boscage,7,N,N,,C/V\.'C/V\.C/(e)\,NOUN,bocage,8,,
56,7,8,.,.,7,Pnc,Pnc,,,PUNCT,.,9,,
57,8,1,chil,chil,8,Dem,Dem,cil,C/V\,PRON,cil,10,,
58,8,2,auberons,auberons,8,N,N,,/V\.C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10,hauberon,DMF
59,8,3,que,que,8,Qux,Qux,que,C/(e)\,PRON,que,10,,
60,8,4,tant,tant,8,QIs,QIs,tant,C/V\,ADV,tant,10,,
61,8,5,ot,ot,8,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
62,8,6,segnoraige,segnoraige,8,N,N,,C/V\.C/V\.'C/V\.C/(e)\,NOUN,seigneurage,0,,
63,8,7,",",",",8,Pnc,Pnc,,,PUNCT,",",9,,
64,9,1,sachiés,sachiés,9,Vfin,Vfin,savoir,C/V\.'C/V\,VERB,savoir,10,,
65,9,2,k',k',9,Sub,Sub,que,C/\,SCONJ,que,10,,
66,9,3,il,il,9,Prn,Prn$,il,/V\,PRON,il,10,,
67,9,4,fu,fu,9,Vfin,Vfin,être,C/V\,VERB,être,10,,
68,9,5,fieus,fieus,9,N,N,,C/V\,NOUN,fils,5,,
69,9,6,juliien,juliien,9,N,N,,C/V\.C/V\.'C/V\,PROPN|NOUN,Julien,8,,
70,9,7,cesare,cesare,9,N,N,,C/V\.'C/V\.C/(e)\,NOUN,cesare,-10,César,Gaius Iulius Caesar – Wikipedia 
71,10,1,qui,qui,10,Qux,Qux,qui,C/V\,PRON,qui,10,,
72,10,2,tint,tint,10,Vfin,Vfin,tenir,C/V\,VERB,tenir,10,,
73,10,3,hungrie,hungrie,10,N,N,,C/V\.'C/V\./(e)\,PROPN|NOUN,Hungrie,8,,
74,10,4,",",",",10,Pnc,Pnc,,,PUNCT,",",9,,
75,10,5,une,une,10,QIs,QIs,un,'/V\.C/(e)\,DET,un,10,,
76,10,6,tere,tere,10,N,N,,'C/V\.C/(e)\,NOUN,terre,8,,
77,10,7,sauvaige,sauvaige,10,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,sauvage,9,,
78,10,8,",",",",10,Pnc,Pnc,,,PUNCT,",",9,,
79,11,1,et,et,11,Crd,Crd,et,/V\,CCONJ,et,10,,
80,11,2,osteriche,osteriche,11,N,N,,/V\.C/e\.'C/V\.C/(e)\,NOUN,Autriche,2,,
81,11,3,et,et,11,Crd,Crd,et,/V\,CCONJ,et,10,,
82,11,4,trestout,trestout,11,QIs,QIs,trèstout,C/V\.'C/V\,DET,trèstout,10,,
83,11,5,l',l',11,Det,Det,le,C/\,DET,le,10,,
84,11,6,iretaige,iretaige,11,N,N,,/V\.C/e\.'C/V\.C/(e)\,NOUN,héritage,9,,
85,11,7,.,.,11,Pnc,Pnc,,,PUNCT,.,9,,
86,12,1,coustantinoble,coustantinoble,12,N,N,,C/V\.C/V\.C/V\.'C/V\.C/(e)\,NOUN,Constantinople,2,,
87,12,2,tint,tint,12,Vfin,Vfin,tenir,C/V\,VERB,tenir,10,,
88,12,3,il,il,12,Prn,Prn%,il,/V\,PRON,il,10,,
89,12,4,tot,tot,12,QIs,QIs,tout,C/V\,DET,tout,10,,
90,12,5,son,son,12,Det,Det,son4,C/V\,DET,son,10,,
91,12,6,eaige,eaige,12,N,N,,/(V)\.'/V\.C/(e)\,NOUN,âge,8,,
92,12,7,;,;,12,Pnc,Pnc,,,PUNCT,;,9,,
93,13,1,set,set,13,QIs,QIs,sept,C/V\,NUM,sept,10,,
94,13,2,lieues,lieues,13,N,N,,'C/V\./e\,NOUN,lieue,9,,
95,13,3,grans,grans,13,Adj,Adj,grand,C/V\,ADJ,grand,10,,
96,13,4,fist,fist,13,Vfin,Vfin,faire,C/V\,VERB,faire,10,,
97,13,5,faire,faire,13,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10,,
98,13,6,de,de,13,Pre,Pre,de,C/(e)\,ADP,de,10,,
99,13,7,muraige,muraige,13,N,N,,C/V\.'C/V\.C/(e)\,NOUN,murage,6,,
100,14,1,qui,qui,14,Qux,Qux,qui,C/V\,PRON,qui,10,,
101,14,2,encor,encor,14,Adv,Adv,encore,/V\.'C/V\,ADV,encore,10,,
102,14,3,durent,durent,14,Vfin,Vfin,durer,'C/V\.C/e\,VERB,durer,10,,
103,14,4,",",",",14,Pnc,Pnc,,,PUNCT,",",9,,
104,14,5,desc',desc',14,PrA,PrA,dèsque,C/V\,ADP,dèsque,10,,
105,14,6,a,a,14,Pre,Pre,à,/V\,ADP,à,10,,
106,14,7,le,le,14,Det,Det,le,C/(e)\,DET,le,10,,
107,14,8,mer,mer,14,N,N,,C/V\,NOUN,mer,8,,
108,14,9,salvaige,salvaige,14,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,sauvage,9,,
109,14,10,.,.,14,Pnc,Pnc,,,PUNCT,.,9,,
110,15,1,jules,jules,15,N,N,,'C/V\.C/e\,NOUN,Jules,2,,
111,15,2,ot,ot,15,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
112,15,3,feme,feme,15,N,N,,'C/V\.C/(e)\,NOUN,femme,3,,
113,15,4,",",",",15,Pnc,Pnc,,,PUNCT,",",9,,
114,15,5,une,une,15,QIs,QIs,un,'/V\.C/(e)\,DET,un,10,,
115,15,6,dame,dame,15,N,N,,'C/V\.C/(e)\,NOUN,dame,8,,
116,15,7,moult,moult,15,QIs,QIs,moult,C/V\,ADV,moult,10,,
117,15,8,sage,sage,15,Adj,Adj,sage,'C/V\.C/(e)\,ADJ,sage,10,,
118,15,9,;,;,15,Pnc,Pnc,,,PUNCT,;,9,,
119,16,1,morge,morge,16,N,N,,'C/V\.C/(e)\,PROPN|NOUN,mordre,-1,mordre,DMF
120,16,2,ot,ot,16,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
121,16,3,a,a,16,Pre,Pre,à,/V\,ADP,à,10,,
122,16,4,non,non,16,N,N,,C/V\,NOUN,nom,8,,
123,16,5,",",",",16,Pnc,Pnc,,,PUNCT,",",9,,
124,16,6,moult,moult,16,QIs,QIs,moult,C/V\,ADV,moult,10,,
