wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,En,en,1,Pre,Pre,en,/V\,ADP,en,10,,
2,1,2,l',l',1,Det,Det,le,C/\,DET,le,10,,
3,1,3,an,an,1,N,N,,/V\,NOUN,an,3,,
4,1,4,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10,,
5,1,5,l',l',1,Det,Det,le,C/\,DET,le,10,,
6,1,6,incarnation,incarnation,1,N,N,,/V\.C/V\.C/V\.C/{V}\.'/V\,NOUN,incarnation,8,,
7,2,1,Jhesu,jhesu,2,N,N,,C/V\.'C/V\,PROPN,Jésus,8,,
8,2,2,nostre,nostre,2,Det,Det,notre,'C/V\.C/(e)\,DET,notre,10,,
9,2,3,redemption,redemption,2,N,N,,C/V\.C/V\.C/{V}\.'/V\,NOUN,rédemption,8,,
10,3,1,Mil,mil,3,QIs,QIs,mille,C/V\,NUM,mille,10,,
11,3,2,.cc.,.cc.,3,QIs,QIs,deux.cent,C/V\.'C/V\,NUM,deux.cent,10,,
12,3,3,ans,ans,3,N,N,,/V\,NOUN,an,8,,
13,3,4,qarante,qarante,3,QIs,QIs,quarante,C/V\.'C/V\.C/(e)\,NUM,quarante,10,,
14,3,5,sis,sis,3,QIs,QIs,six,C/V\,ADJ|ADV|DET|NUM|PRON,six,10,,
15,4,1,Fui,fui,4,Vfin,Vfin,être,C/V\,VERB,être,10,,
16,4,2,d',d',4,Pre,Pre,de,C/\,ADP,de,10,,
17,4,3,un,un,4,QIs,QIs,un,/V\,DET,un,10,,
18,4,4,livre,livre,4,N,N,,'C/V\.C/(e)\,NOUN,livre,3,,
19,4,5,faire,faire,4,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10,,
20,4,6,pensis,pensis,4,Adj,Adj,,C/V\.'C/V\,ADJ,pensif,9,,
21,5,1,De,de,5,Pre,Pre,de,C/(e)\,ADP,de,10,,
22,5,2,tote,tote,5,QIs,QIs,tout,'C/V\.C/(e)\,DET,tout,10,,
23,5,3,l',l',5,Det,Det,le,C/\,DET,le,10,,
