wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,l',l',1,Det,Det,le,C/\,DET,le,10,,
2,1,2,aventure,aventure,1,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,aventure,8,,
3,1,3,d',d',1,Pre,Pre,de,C/\,ADP,de,10,,
4,1,4,un,un,1,QIs,QIs,un,/V\,DET,un,10,,
5,1,5,autre,autre,1,Adj,Adj,autre,'/V\.C/(e)\,ADJ,autre,10,,
6,1,6,lai,lai,1,N,N,,C/V\,NOUN,lai,8,,
7,1,7,",",",",1,Pnc,Pnc,,,PUNCT,",",9,,
8,2,1,cum,cum,2,Sub,Sub,comme,C/V\,SCONJ,comme,10,,
9,2,2,ele,ele,2,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10,,
10,2,3,avient,avient,2,Vfin,Vfin,avenir,/V\.'C/V\,VERB,avenir,10,,
11,2,4,",",",",2,Pnc,Pnc,,,PUNCT,",",9,,
12,2,5,vus,vus,2,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
13,2,6,cunterai,cunterai,2,Vfin,Vfin,conter,C/V\.C/e\.'C/V\,VERB,conter,10,,
14,2,7,:,:,2,Pnc,Pnc,,,PUNCT,:,9,,
15,3,1,fait,fait,3,Vpp,Vpp,faire,C/V\,VERB,faire,10,,
16,3,2,fu,fu,3,Vfin,Vfin,être,C/V\,VERB,être,10,,
17,3,3,d',d',3,Pre,Pre,de,C/\,ADP,de,10,,
18,3,4,un,un,3,QIs,QIs,un,/V\,DET,un,10,,
19,3,5,mut,mut,3,QIs,QIs,moult,C/V\,ADV,moult,10,,
20,3,6,gentil,gentil,3,Adj,Adj,gentil,C/V\.'C/V\,ADJ,gentil,10,,
21,3,7,vassal,vassal,3,N,N,,C/V\.'C/V\,NOUN,vassal,8,,
22,3,8,;,;,3,Pnc,Pnc,,,PUNCT,;,9,,
23,4,1,en,en,4,Pre,Pre,en,/V\,ADP,en,10,,
24,4,2,bretans,bretans,4,N,N,,C/V\.'C/V\,NOUN,breton,0,,
25,4,3,l',l',4,Prn,Prn$$,le,C/\,PRON,le,10,,
26,4,4,apelent,apelent,4,Vfin,Vfin,appeler,/V\.'C/V\.C/e\,VERB,appeler,10,,
27,4,5,lanval,lanval,4,N,N,,C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10,Lanval,Lanval (Lai) – Wikipedia 
28,4,6,.,.,4,Pnc,Pnc,,,PUNCT,.,9,,
29,5,1,a,a,5,Pre,Pre,à,/V\,ADP,à,10,,
30,5,2,kardoel,kardoel,5,N,N,,C/V\.'C/V\,NOUN,cardeau,-10,Cardeuil,DMF
31,5,3,surjurnot,surjurnot,5,Vfin,Vfin,,C/V\.C/V\.'C/V\,VERB,surjourner,-10,séjourner,DMF
