wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,usages,usages,1,N,N,,/V\.'C/V\.C/e\,NOUN,usage,8,,
2,1,2,est,est,1,Vfin,Vfin,être,/V\,VERB,être,10,,
3,1,3,en,en,1,Pre,Pre,en,/V\,ADP,en,10,,
4,1,4,normendie,normendie,1,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,Normandie,2,,
5,2,1,que,que,2,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
6,2,2,qui,qui,2,Qux,Qux,qui,C/V\,PRON,qui,10,,
7,2,3,herbergiez,herbergiez,2,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,héberger,9,,
8,2,4,est,est,2,Vfin,Vfin,être,/V\,VERB,être,10,,
9,2,5,qu',qu',2,Sub,Sub,que,C/\,SCONJ,que,10,,
10,2,6,il,il,2,Prn,Prn$,il,/V\,PRON,il,10,,
11,2,7,die,die,2,Vfin,Vfin,dire,'C/V\./(e)\,VERB,dire,10,,
12,2,8,:,:,2,Pnc,Pnc,,,PUNCT,:,9,,
13,3,1,fable,fable,3,N,N,,'C/V\.C/(e)\,NOUN,fable,8,,
14,3,2,ou,ou,3,Crd,Crd,ou,/V\,CCONJ,ou,10,,
15,3,3,chançon,chançon,3,N,N,,C/V\.'C/V\,NOUN,chanson,8,,
16,3,4,die,die,3,Vfin,Vfin,dire,'C/V\./(e)\,VERB,dire,10,,
17,3,5,a,a,3,Pre,Pre,à,/V\,ADP,à,10,,
18,3,6,l',l',3,Det,Det,le,C/\,DET,le,10,,
19,3,7,oste,oste,3,N,N,,'/V\.C/(e)\,NOUN,hôte,3,,
20,3,8,.,.,3,Pnc,Pnc,,,PUNCT,.,9,,
21,4,1,ceste,ceste,4,Dem,Dem,cist,'C/V\.C/(e)\,DET,cist,10,,
22,4,2,costume,costume,4,N,N,,C/V\.'C/V\.C/(e)\,NOUN,coutume,9,,
23,4,3,pas,pas,4,Neg,Neg,pas,C/V\,ADV,pas,10,,
24,4,4,n',n',4,Neg,Neg$$,ne,C/\,ADV,ne,10,,
25,4,5,en,en,4,Prn,Prn$$,en2,/V\,PRON,en,10,,
26,4,6,oste,oste,4,Vfin,Vfin,ôter,'/V\.C/(e)\,VERB,ôter,10,,
27,5,1,sire,sire,5,N,N,,'C/V\.C/(e)\,NOUN,sire,11,,
28,5,2,jehans,jehans,5,N,N,,C/(V)\.'/V\,PROPN|NOUN,Jean,8,,
29,5,3,li,li,5,Det,Det,le,C/V\,DET,le,10,,
30,5,4,chapelains,chapelains,5,N,N,,C/V\.C/e\.'C/V\,NOUN,chapelain,9,,
31,5,5,:,:,5,Pnc,Pnc,,,PUNCT,:,9,,
32,6,1,voura,voura,6,Vfin,Vfin,vouloir,C/V\.'C/V\,VERB,vouloir,10,,
33,6,2,conter,conter,6,Vinf,Vinf,conter,C/V\.'C/V\,VERB,conter,10,,
34,6,3,dou,dou,6,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
35,6,4,soucretain,soucretain,6,N,N,,C/V\.C/e\.'C/V\,NOUN,soucretain,-10,sacristain,DMF
36,7,1,une,une,7,QIs,QIs,un,'/V\.C/(e)\,DET,un,10,,
37,7,2,avanture,avanture,7,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,aventure,8,,
38,7,3,sanz,sanz,7,Pre,Pre,sans,C/V\,ADP,sans,10,,
39,7,4,essoigne,essoigne,7,N,N,,/V\.'C/V\.C/(e)\,NOUN,essoine,9,,
40,7,5,.,.,7,Pnc,Pnc,,,PUNCT,.,9,,
41,8,1,il,il,8,Prn,Prn$,il,/V\,PRON,il,10,,
42,8,2,avint,avint,8,Vfin,Vfin,avenir,/V\.'C/V\,VERB,avenir,10,,
43,8,3,jadiz,jadiz,8,Adv,Adv,jadis,C/V\.'C/V\,ADV,jadis,10,,
44,8,4,en,en,8,Pre,Pre,en,/V\,ADP,en,10,,
