wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,lemma_gold
1,1,1,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10,,et
2,1,2,puis,puis,1,PrA,PrA,puis,C/V\,ADV,puis,10,,puis
3,1,3,",",",",1,Pnc,Pnc,,,PUNCT,",",9,,
4,1,4,est,est,1,Vfin,Vfin,être,/V\,VERB,être,10,,être
5,1,5,il,il,1,Prn,Prn%,il,/V\,PRON,il,10,,il
6,1,6,façon,façon,1,N,N,,C/V\.'C/V\,NOUN,façon,8,,
7,1,7,aulcune,aulcune,1,QIs,QIs,aucun,/V\.'C/V\.C/e\,ADJ,aucun,10,,aucun
8,1,8,?,?,1,Pnc,Pnc,,,PUNCT,?,9,,
9,2,1,de,de,2,Pre,Pre,de,C/(e)\,ADP,de,10,,de
10,2,2,quoy,quoy,2,Qux,Qux,que,C/V\,PRON,que,10,,que
11,2,3,faire,faire,2,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10,,faire
12,2,4,?,?,2,Pnc,Pnc,,,PUNCT,?,9,,
13,2,5,/,/,2,Pnc,Pnc,,,PUNCT,UNKNOWN,-10,/,/
14,2,6,de,de,2,Pre,Pre,de,C/(e)\,ADP,de,10,,de
15,2,7,quicter,quicter,2,Vinf,Vinf,,C/V\.'C/V\,VERB,quitter,9,,
16,2,8,tout,tout,2,QIs,QIs,tout,C/V\,PRON,tout,10,,tout
17,2,9,?,?,2,Pnc,Pnc,,,PUNCT,?,9,,
18,3,1,y,y,3,Prn,Prn$$,y2,/V\,PRON,y,10,,y2
19,3,2,fauldra,fauldra,3,Vfin,Vfin,faillir,C/V\.'C/V\,VERB,faillir,10,,faillir
20,3,3,quelque,quelque,3,QIs,QIs,quelque,'C/V\.C/(e)\,DET,quelque,10,,quelque
21,3,4,un,un,3,QIs,QIs,un,/V\,PRON,un,10,,un
22,3,5,ou,ou,3,Crd,Crd,ou,/V\,CCONJ,ou,10,,ou
23,3,6,quelque,quelque,3,QIs,QIs,quelque,'C/V\.C/(e)\,DET,quelque,10,,quelque
24,3,7,une,une,3,QIs,QIs,un,'/V\.C/(e)\,PRON,un,10,,un
25,3,8,",",",",3,Pnc,Pnc,,,PUNCT,",",9,,
26,4,1,de,de,4,Pre,Pre,de,C/(e)\,ADP,de,10,,de
27,4,2,bref,bref,4,Adj,Adj,,C/V\,ADJ,bref,8,,
28,4,3,",",",",4,Pnc,Pnc,,,PUNCT,",",9,,
29,4,4,qui,qui,4,Qux,Qux,qui,C/V\,PRON,qui,10,,qui
30,4,5,nous,nous,4,Prn,Prn$,nous,C/V\,PRON,nous,10,,nous
31,4,6,mectra,mectra,4,Vfin,Vfin,mettre,C/V\.'C/V\,VERB,mettre,10,,mettre
32,4,7,deboult,deboult,4,Adv,Adv,debout,C/V\.'C/V\,ADV,debout,10,,debout
33,4,8,.,.,4,Pnc,Pnc,,,PUNCT,.,9,,
34,5,1,j',j',5,Prn,Prn$,je,C/\,PRON,je,10,,je
35,5,2,y,y,5,Prn,Prn$$,y2,/V\,PRON,y,10,,y2
36,5,3,songe,songe,5,Vfin,Vfin,,'C/V\.C/(e)\,VERB,songer,8,,
37,5,4,.,.,5,Pnc,Pnc,,,PUNCT,.,9,,
38,5,5,/,/,5,Pnc,Pnc,,,PUNCT,/,-10,/,/
39,5,6,je,je,5,Prn,Prn$,je,C/(e)\,PRON,je,10,,je
40,5,7,suis,suis,5,Vfin,Vfin,être,C/V\,VERB,être,10,,être
41,5,8,en,en,5,Pre,Pre,en,/V\,ADP,en,10,,en
42,5,9,escoult,escoult,5,N,N,,/V\.'C/V\,NOUN,écout,9,,
43,5,10,.,.,5,Pnc,Pnc,,,PUNCT,.,9,,
44,6,1,j',j',6,Prn,Prn$,je,C/\,PRON,je,10,,je
45,6,2,ey,ey,6,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,avoir
46,6,3,mains,mains,6,N,N,,C/V\,PROPN|NOUN,main,8,,
47,6,4,",",",",6,Pnc,Pnc,,,PUNCT,",",9,,
48,6,5,et,et,6,Crd,Crd,et,/V\,CCONJ,et,10,,et
49,6,6,sy,sy,6,Adv,Adv,si4,C/V\,ADV,si,10,,si4
50,6,7,ne,ne,6,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,ne
51,6,8,puys,puys,6,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10,,pouvoir2
52,6,9,rien,rien,6,N,N,rien,C/V\,PROPN|NOUN,rien,10,,rien
53,6,10,prendre,prendre,6,Vinf,Vinf,prendre,'C/V\.C/(e)\,VERB,prendre,10,,prendre
54,6,11,.,.,6,Pnc,Pnc,,,PUNCT,.,9,,
55,7,1,je,je,7,Prn,Prn$,je,C/(e)\,PRON,je,10,,je
56,7,2,suys,suys,7,Vfin,Vfin,être,C/V\,VERB,être,10,,être
57,7,3,frais,frais,7,Adj,Adj,,C/V\,ADJ,frais,8,,
58,7,4,",",",",7,Pnc,Pnc,,,PUNCT,",",9,,
59,7,5,frais,frais,7,Adj,Adj,,C/V\,ADJ,frais,8,,
60,7,6,.,.,7,Pnc,Pnc,,,PUNCT,.,9,,
61,7,7,/,/,7,Pnc,Pnc,,,PUNCT,UNKNOWN,-10,/,/
62,7,8,et,et,7,Crd,Crd,et,/V\,CCONJ,et,10,,et
63,7,9,j',j',7,Prn,Prn$,je,C/\,PRON,je,10,,je
64,7,10,ey,ey,7,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,avoir
65,7,11,bon,bon,7,Adj,Adj,bon,C/V\,ADJ,bon,10,,bon
66,7,12,goust,goust,7,N,N,,C/V\,NOUN,goût,8,,
67,7,13,.,.,7,Pnc,Pnc,,,PUNCT,.,9,,
68,8,1,j',j',8,Prn,Prn$,je,C/\,PRON,je,10,,je
69,8,2,aprens,aprens,8,Vfin,Vfin,apprendre,/V\.'C/V\,VERB,apprendre,10,,apprendre
70,8,3,",",",",8,Pnc,Pnc,,,PUNCT,",",9,,
71,8,4,et,et,8,Crd,Crd,et,/V\,CCONJ,et,10,,et
72,8,5,sy,sy,8,Adv,Adv,si4,C/V\,ADV,si,10,,si4
73,8,6,suys,suys,8,Vfin,Vfin,être,C/V\,VERB,être,10,,être
74,8,7,a,a,8,Pre,Pre,à,/V\,ADP,à,10,,à
75,8,8,raprendre,raprendre,8,Vinf,Vinf,rapprendre,C/V\.'C/V\.C/(e)\,VERB,rapprendre,10,,rapprendre
76,8,9,.,.,8,Pnc,Pnc,,,PUNCT,.,9,,
77,9,1,de,de,9,Pre,Pre,de,C/(e)\,ADP,de,10,,de
78,9,2,sancté,sancté,9,N,N,,C/V\.'C/V\,NOUN,santé,9,,
79,9,3,",",",",9,Pnc,Pnc,,,PUNCT,",",9,,
80,9,4,j',j',9,Prn,Prn$,je,C/\,PRON,je,10,,je
81,9,5,en,en,9,Prn,Prn$$,en2,/V\,PRON,en,10,,en2
82,9,6,ay,ay,9,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,avoir
83,9,7,a,a,9,Pre,Pre,à,/V\,ADP,à,10,,à
84,9,8,revendre,revendre,9,Vinf,Vinf,revendre,C/V\.'C/V\.C/(e)\,VERB,revendre,10,,revendre
85,10,1,largement,largement,10,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,largement,9,,
86,10,2,",",",",10,Pnc,Pnc,,,PUNCT,",",9,,
87,10,3,trop,trop,10,Adv,Adv,trop,C/V\,ADV,trop,10,,trop
88,10,4,plus,plus,10,Adv,Adv,plus,C/V\,ADV,plus,10,,plus
89,10,5,que,que,10,Sub,Sub,que,C/(e)\,SCONJ,que,10,,que
90,10,6,de,de,10,Pre,Pre,de,C/(e)\,ADP,de,10,,de
91,10,7,paille,paille,10,N,N,,'C/V\.C/(e)\,NOUN,paille,3,,
92,10,8,.,.,10,Pnc,Pnc,,,PUNCT,.,9,,
93,11,1,et,et,11,Crd,Crd,et,/V\,CCONJ,et,10,,et
94,11,2,au,au,11,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,,à.le
95,11,3,surplus,surplus,11,N,N,,C/V\.'C/V\,NOUN,surplus,9,,
96,11,4,on,on,11,Prn,Prn$,on,/V\,PRON,on,10,,on
97,11,5,doibt,doibt,11,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,,devoir2
98,11,6,entendre,entendre,11,Vinf,Vinf,entendre,/V\.'C/V\.C/(e)\,VERB,entendre,10,,entendre
99,12,1,qu',qu',12,Sub,Sub,que,C/\,SCONJ,que,10,,que
100,12,2,en,en,12,Pre,Pre,en,/V\,ADP,en,10,,en
101,12,3,tout,tout,12,QIs,QIs,tout,C/V\,DET,tout,10,,tout
102,12,4,le,le,12,Det,Det,le,C/(e)\,DET,le,10,,le
103,12,5,tresor,tresor,12,N,N,,C/V\.'C/V\,NOUN,trésor,8,,
104,12,6,pas,pas,12,Neg,Neg,pas,C/V\,ADV,pas,10,,pas
105,12,7,la,la,12,Det,Det,le,C/V\,DET,le,10,,le
106,12,8,maille,maille,12,N,N,,'C/V\.C/(e)\,PROPN|NOUN,maille,8,,
107,12,9,.,.,12,Pnc,Pnc,,,PUNCT,.,9,,
108,13,1,a,a,13,Exc,Exc,,/V\,INTJ,ah,8,,
109,13,2,!,!,13,Pnc,Pnc,,,PUNCT,!,9,,
110,13,3,sy,sy,13,Adv,Adv,si4,C/V\,ADV,si,10,,si4
111,13,4,fault,fault,13,Vfin,Vfin,faillir,C/V\,VERB,faillir,10,,faillir
112,13,5,il,il,13,Prn,Prn%,il,/V\,PRON,il,10,,il
113,13,6,tenir,tenir,13,Vinf,Vinf,tenir,C/V\.'C/V\,VERB,tenir,10,,tenir
114,13,7,bataille,bataille,13,N,N,,C/V\.'C/V\.C/(e)\,NOUN,bataille,8,,
115,14,1,pour,pour,14,Pre,Pre,pour,C/V\,ADP,pour,10,,pour
116,14,2,combattre,combattre,14,Vinf,Vinf,combattre,C/V\.'C/V\.C/(e)\,VERB,combattre,10,,combattre
117,14,3,ses,ses,14,Det,Det,son4,C/V\,DET,son,10,,son4
118,14,4,ennemys,ennemys,14,N,N,,/V\.C/e\.'C/V\,NOUN,ennemi,9,,
119,14,5,.,.,14,Pnc,Pnc,,,PUNCT,.,9,,
120,15,1,c',c',15,Prn,Prn,ce,C/\,PRON,ce,10,,ce
121,15,2,est,est,15,Vfin,Vfin,être,/V\,VERB,être,10,,être
122,15,3,force,force,15,N,N,,'C/V\.C/(e)\,NOUN,force,3,,
123,15,4,",",",",15,Pnc,Pnc,,,PUNCT,",",9,,
124,15,5,ou,ou,15,Qux,Qux,où,/V\,ADJ|ADV|DET|PRON,où,10,,où
125,15,6,que,que,15,Sub,Sub,que,C/(e)\,SCONJ,que,10,,que
126,15,7,chascun,chascun,15,QIs,QIs,chacun,C/V\.'C/V\,PRON,chacun,10,,chacun
127,15,8,s',s',15,Prn,Prn$$,se,C/\,PRON,se,10,,se
128,15,9,en,en,15,Prn,Prn$$,en2,/V\,PRON,en,10,,en2
129,15,10,aille,aille,15,Vfin,Vfin,aller,'/V\.C/(e)\,VERB,aller,10,,aller
130,15,11,",",",",15,Pnc,Pnc,,,PUNCT,",",9,,
131,16,1,car,car,16,Crd,Crd,car,C/V\,CCONJ,car,10,,car
132,16,2,",",",",16,Pnc,Pnc,,,PUNCT,",",9,,
133,16,3,par,par,16,Pre,Pre,par,C/V\,ADP,par,10,,par
134,16,4,dieux,dieux,16,N,N,,C/V\,NOUN,dieu,3,,
135,16,5,",",",",16,Pnc,Pnc,,,PUNCT,",",9,,
136,16,6,nous,nous,16,Prn,Prn$,nous,C/V\,PRON,nous,10,,nous
137,16,7,avons,avons,16,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,avoir
138,16,8,trop,trop,16,Adv,Adv,trop,C/V\,ADV,trop,10,,trop
139,16,9,mys,mys,16,Vpp,Vpp,mettre,C/V\,VERB,mettre,10,,mettre
140,16,10,.,.,16,Pnc,Pnc,,,PUNCT,.,9,,
141,17,1,et,et,17,Crd,Crd,et,/V\,CCONJ,et,10,,et
142,17,2,fault,fault,17,Vfin,Vfin,faillir,C/V\,VERB,faillir,10,,faillir
143,17,3,il,il,17,Prn,Prn%,il,/V\,PRON,il,10,,il
144,17,4,que,que,17,Sub,Sub,que,C/(e)\,SCONJ,que,10,,que
145,17,5,les,les,17,Det,Det,le,C/V\,DET,le,10,,le
146,17,6,bons,bons,17,Adj,Adj,bon,C/V\,ADJ,bon,10,,bon
147,17,7,amys,amys,17,N,N,,/V\.'C/V\,NOUN,ami,3,,
148,18,1,departent,departent,18,Vfin,Vfin,départir,C/V\.'C/V\.C/e\,VERB,départir,10,,départir
149,18,2,sy,sy,18,Adv,Adv,si4,C/V\,ADV,si,10,,si4
150,18,3,hastivement,hastivement,18,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\,ADV,hâtivement,8,,
151,18,4,?,?,18,Pnc,Pnc,,,PUNCT,?,9,,
152,19,1,dictes,dictes,19,Vfin,Vfin,dire,'C/V\.C/e\,VERB,dire,10,,dire
153,19,2,?,?,19,Pnc,Pnc,,,PUNCT,?,9,,
154,19,3,sy,sy,19,Adv,Adv,si4,C/V\,ADV,si,10,,si4
155,19,4,n',n',19,Neg,Neg$$,ne,C/\,ADV,ne,10,,ne
156,19,5,ai,ai,19,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,avoir
157,19,6,ge,ge,19,Prn,Prn%,je,C/(e)\,PRON,je,10,,je
158,19,7,rien,rien,19,N,N,rien,C/V\,PROPN|NOUN,rien,10,,rien
159,19,8,promys,promys,19,Vpp,Vpp,promettre,C/V\.'C/V\,VERB,promettre,10,,promettre
160,20,1,a,a,20,Pre,Pre,à,/V\,ADP,à,10,,à
161,20,2,nul,nul,20,QIs,QIs,nul,C/V\,PRON,nul,10,,nul
162,20,3,",",",",20,Pnc,Pnc,,,PUNCT,",",9,,
163,20,4,par,par,20,Pre,Pre,par,C/V\,ADP,par,10,,par
164,20,5,foy,foy,20,N,N,,C/V\,NOUN,foi,3,,
