wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,lemma_gold
1,1,1,En,en,1,Pre,Pre,en,/V\,ADP,en,10,,en
2,1,2,l',l',1,Det,Det,le,C/\,DET,le,10,,le
3,1,3,honneur,honneur,1,N,N,,/V\.'C/V\,NOUN,honneur,8,,
4,1,4,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10,,de
5,1,5,Sainct,sainct,1,Adj,Adj,saint,C/V\,ADJ,saint,10,,saint
6,1,6,Mathurin,mathurin,1,N,N,,C/V\.C/V\.'C/V\,PROPN,mathurin,2,,
7,1,7,",",",",1,Pnc,Pnc,,,PUNCT,",",9,,
8,2,1,Afin,afin,2,Adv,Adv,afin,/V\.'C/V\,ADV,afin,10,,afin
9,2,2,que,que,2,Sub,Sub,que,C/(e)\,SCONJ,que,10,,que
10,2,3,chascun,chascun,2,QIs,QIs,chacun,C/V\.'C/V\,DET,chacun,10,,chacun
11,2,4,pèlerin,pelerin,2,N,N,,C/V\.C/e\.'C/V\,NOUN,pèlerin,9,,
12,3,1,Sa,sa,3,Det,Det,son4,C/V\,DET,son,10,,son4
13,3,2,vie,vie,3,N,N,,'C/V\./(e)\,NOUN,vie,3,,
14,3,3,puisse,puisse,3,Vfin,Vfin,pouvoir2,'C/V\.C/(e)\,VERB,pouvoir,10,,pouvoir2
15,3,4,mieulx,mieulx,3,Adv,Adv,mieux,C/V\,ADV,mieux,10,,mieux
16,3,5,entendre,entendre,3,Vinf,Vinf,entendre,/V\.'C/V\.C/(e)\,VERB,entendre,10,,entendre
17,3,6,",",",",3,Pnc,Pnc,,,PUNCT,",",9,,
18,4,1,Aussi,aussi,4,Adv,Adv,aussi,/V\.'C/V\,ADV,aussi,10,,aussi
19,4,2,la,la,4,Prn,Prn$$,le,C/V\,PRON,le,10,,le
20,4,3,sache,sache,4,Vfin,Vfin,savoir,'C/V\.C/(e)\,VERB,savoir,10,,savoir
21,4,4,mieulx,mieulx,4,Adv,Adv,mieux,C/V\,ADV,mieux,10,,mieux
22,4,5,comprendre,comprendre,4,Vinf,Vinf,comprendre,C/V\.'C/V\.C/(e)\,VERB,comprendre,10,,comprendre
23,4,6,",",",",4,Pnc,Pnc,,,PUNCT,",",9,,
24,5,1,Pour,pour,5,Pre,Pre,pour,C/V\,ADP,pour,10,,pour
25,5,2,les,les,5,Det,Det,le,C/V\,DET,le,10,,le
26,5,3,simples,simples,5,Adj,Adj,,'C/V\.C/e\,ADJ,simple,9,,
27,5,4,gens,gens,5,N,N,,C/V\,NOUN,gent,11,,
28,5,5,seullement,seullement,5,Adv,Adv,seulement,C/V\.C/e\.'C/V\,ADV,seulement,10,,seulement
29,5,6,",",",",5,Pnc,Pnc,,,PUNCT,",",9,,
30,6,1,Selon,selon,6,PrA,PrA,selon,C/V\.'C/V\,ADP,selon,10,,selon
31,6,2,mon,mon,6,Det,Det,mon,C/V\,DET,mon,10,,mon
32,6,3,povre,povre,6,Adj,Adj,pauvre,'C/V\.C/(e)\,ADJ,pauvre,10,,pauvre
33,6,4,entendement,entendement,6,N,N,,/V\.C/V\.C/e\.'C/V\,NOUN,entendement,8,,
34,6,5,",",",",6,Pnc,Pnc,,,PUNCT,",",9,,
35,7,1,Ay,ay,7,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,avoir
36,7,2,mis,mis,7,Vpp,Vpp,mettre,C/V\,VERB,mettre,10,,mettre
37,7,3,de,de,7,Pre,Pre,de,C/(e)\,ADP,de,10,,de
38,7,4,latin,latin,7,N,N,,C/V\.'C/V\,NOUN,latin,8,,
39,7,5,en,en,7,Pre,Pre,en,/V\,ADP,en,10,,en
40,7,6,françoys,françoys,7,N,N,,C/V\.'C/V\,NOUN,français,8,,
41,7,7,",",",",7,Pnc,Pnc,,,PUNCT,",",9,,
42,8,1,Nompas,nompas,8,Neg,Neg,nompas,C/V\.'C/V\,ADV,nompas,10,,nompas
43,8,2,que,que,8,Sub,Sub,que,C/(e)\,SCONJ,que,10,,que
44,8,3,si,si,8,Adv,Adv,si4,C/V\,ADV,si,10,,si4
45,8,4,grant,grant,8,Adj,Adj,grand,C/V\,ADJ,grand,10,,grand
46,8,5,clerc,clerc,8,N,N,,C/V\,NOUN,clerc,8,,
47,8,6,je,je,8,Prn,Prn$,je,C/(e)\,PRON,je,10,,je
48,8,7,soys,soys,8,Vfin,Vfin,être,C/V\,VERB,être,10,,être
49,9,1,Que,que,9,Sub,Sub,que,C/(e)\,SCONJ,que,10,,que
50,9,2,de,de,9,Pre,Pre,de,C/(e)\,ADP,de,10,,de
51,9,3,moy,moy,9,Prn,Prn,moi,C/V\,PRON,moi,10,,moi
52,9,4,je,je,9,Prn,Prn$,je,C/(e)\,PRON,je,10,,je
53,9,5,vueil,vueil,9,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10,,vouloir
54,9,6,estimer,estimer,9,Vinf,Vinf,,/V\.C/V\.'C/V\,VERB,estimer,9,,
55,10,1,Que,que,10,Sub,Sub,que,C/(e)\,SCONJ,que,10,,que
56,10,2,je,je,10,Prn,Prn$,je,C/(e)\,PRON,je,10,,je
57,10,3,la,la,10,Prn,Prn$$,le,C/V\,PRON,le,10,,le
58,10,4,sçeusse,sçeusse,10,Vfin,Vfin,savoir,C/(V)\.'/V\.C/(e)\,VERB,savoir,10,,savoir
59,10,5,bien,bien,10,Adv,Adv,bien,C/V\,ADV,bien,10,,bien
60,10,6,rimer,rimer,10,Vinf,Vinf,,C/V\.'C/V\,VERB,rimer,9,,
61,11,1,Ne,ne,11,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10,,ne2
