lemma	F	
---	2	
aaiser	14	
aaisier	1	
aancrer	1	
aatir	5	
abahir	1	
abaisser	8	
abandonner	18	
abattre	5	
abaubir	1	
abaudir	1	
abbattre	32	
abellir	1	
abloquer	1	
abolir	1	
abonder	4	
abosmer	1	
abréger	2	
abreuver	1	
abriver	4	
absoudre	7	
abstenir	1	
abuser	4	
acclore	1	
accointer	9	
accoiser	1	
accoler	13	
accompagner	6	
accomplir	16	
accord	1	
accorder	24	
accoter	2	
accoucher	1	
accoupler	1	
accouplir	1	
accourir	10	
accoutumer	2	
accroire	3	
accroître	4	
accueillir	7	
acculer	1	
accuser	3	
acener	1	
acérer	3	
acesmer	3	
achanler	1	
achanter	1	
acharrier	1	
acheminer	2	
acheter	14	
achever	8	
acommunier	1	
acompter	5	
aconsuivre	1	
acouveter	1	
acquérir	12	
acquiescer	1	
acquitter	9	
acravanter	1	
acréanter	3	
acueillir	1	
adaigner	1	
adeser	3	
adévaler	1	
adextrer	3	
adjoindre	1	
adjurer	1	
admonester	9	
adorer	4	
adouber	8	
adoucir	1	
adouler	2	
adresser	11	
aduire	1	
aduner	3	
adurer	5	
advenir	15	
adversier	1	
aemplir	2	
aerdre	6	
aesmer	1	
affaiblir	1	
affaiter	7	
affamer	1	
afférir	13	
affermer	4	
afficher	5	
affier	6	
affiler	1	
affiner	6	
affinir	1	
affoler	17	
affubler	2	
agacer	2	
agarder	2	
agencir	1	
agenouiller	5	
agréer	7	
aguetter	3	
ahaner	1	
aheurter	1	
ahontir	1	
aider	105	
aiguiser	2	
aimer	419	
aïrer	6	
aiser	2	
ajourner	5	
ajouter	5	
alaschier	1	
alever	3	
aligner	2	
allaiter	1	
alléger	9	
aller	762	
allier	1	
allouer	1	
allumer	13	
aloser	2	
amaier	1	
amaisir	1	
amaisnier	1	
amanevir	2	
amasser	10	
amatir	1	
ambler	4	
amender	11	
amener	30	
amenuiser	1	
amesurer	2	
amignoter	1	
amoindrir	2	
amollier	1	
amonceler	1	
amonter	1	
amordre	3	
anéantir	1	
aner	9	
angoisser	1	
animer	1	
annoncer	3	
anoailler	1	
anuiter	2	
aorer	25	
aorner	5	
aouvrir	2	
apaiser	6	
aparler	1	
aparoir	2	
aparoir|apparaître	1	
apayer	3	
apenser	4	
apercevoir	27	
apetisser	2	
aplanier	1	
aploier	1	
apparaître	11	
appareiller	22	
apparier	1	
apparoir	2	
appartenir	9	
appâteler	1	
appauvrir	1	
appeler	103	
appendre	6	
appeser	1	
appliquer	2	
appointer	2	
appondre	1	
apporter	30	
apprendre	99	
apprêter	12	
approcher	11	
approismer	10	
approuver	2	
approvender	1	
appuyer	7	
arabier	1	
arager	1	
aramir	1	
ardre	46	
arer	1	
arguer	3	
armer	30	
aromatiser	2	
arouter	1	
arracher	3	
arraisonner	8	
arranger	1	
arrêter	34	
arriver	14	
arroser	4	
arroyer	1	
aruner	1	
aspirer	1	
assaillir	23	
assaser	1	
assavoir	1	
assavourer	1	
assayer	2	
asseigneurir	1	
assemblée	1	
assembler	35	
assener	7	
assentir	3	
asseoir	75	
asserrer	1	
asservir	8	
assevir	1	
assiéger	2	
assigné	1	
assigner	1	
assommer	4	
assonner	1	
assorter	1	
assortir	1	
assoter	2	
assotir	1	
assouager	5	
assouployer	2	
assouvir	5	
assurer	16	
atalenter	3	
atarger	15	
atourner	19	
attacher	3	
atteindre	22	
attemprer	6	
attendre	98	
attenter	1	
attirer	9	
attiser	7	
attoucher	2	
attraire	19	
attraper	4	
auner	3	
äuser	1	
autoriser	1	
avaler	14	
avancer	22	
avant	1	
avenir	95	
avêprer	3	
avérir	1	
aveugler	10	
aviler	5	
avironner	2	
aviser	25	
avocasser	1	
avoir	4009	
avouer	5	
avoutire	1	
avoyer	3	
baigner	11	
bailler	48	
baillir	6	
baiser	32	
baiser2	1	
baisser	6	
balancer	1	
balayer	1	
baller	2	
baloyer	1	
bander	4	
bannir	7	
baptiser	15	
baratter	3	
barber	1	
barboter	1	
batailler	4	
bâtir	4	
battre	19	
becqueter	1	
béer	7	
behorder	2	
beitrer	1	
bénir	11	
berser	3	
besogner	7	
bien.être	1	
bienheuré	1	
bienheurer	2	
bienvenir	1	
bistourner	1	
blâme	1	
blamer	1	
blâmer	24	
blamir	1	
blanchir	1	
blanchoyer	1	
blandir	1	
blasonner	2	
blastengier	1	
blêmer	1	
blêmir	1	
blesser	19	
boban	1	
boire	66	
boisier	3	
boucler	1	
bouffir	1	
bouger	2	
bouillir	10	
bourder	2	
bouter	21	
braire	9	
branler	1	
brasser	4	
brester	2	
briser	9	
brocher	8	
broncher	1	
brouiller	1	
bruir	4	
bruire	6	
brûler	4	
brunir	2	
bûcher	1	
buer	1	
buter	1	
cabasser	1	
cacher	5	
caler	1	
carrer	1	
casser	9	
causer	2	
caver	1	
ceindre	8	
célébrer	3	
celer	32	
cener	1	
cerner	1	
certifier	1	
cesser	14	
chadeler	1	
challenge	1	
challenger	9	
chaloir	36	
chanceler	3	
changer	37	
chanter	57	
charger	18	
charrier	1	
chaser	5	
chasser	34	
chastoyer	1	
châtier	12	
chatouiller	1	
chauffer	2	
chausse	1	
chausser	8	
cheminer	2	
chercher	15	
chérir	3	
chevaucher	30	
chevir	5	
chicaner	1	
chier	2	
choir	71	
choisir	27	
chopper	1	
choser	2	
chrétienner	1	
ciller	1	
cingler	9	
clamer	41	
cligneter	1	
cliner	3	
clocher	1	
cloficher	2	
clofire	1	
clore	19	
clouer	2	
cogner	1	
coitier	2	
colorer	5	
coloyer	2	
combattre	28	
commander	76	
commencer	71	
communier	1	
compagner	1	
comparer	14	
comparer2	3	
comparoir	2	
compasser	8	
complaindre	4	
complaire	3	
complir	1	
comprendre	5	
compter	3	
concevoir	9	
conclure	3	
concorder	1	
concroire	1	
concueillir	3	
condamner	5	
condescendre	2	
condormir	2	
conduco	1	
conduire	11	
confermer	6	
confesser	3	
confire	3	
confirmer	1	
confondre	14	
conforter	21	
congéer	2	
conjoindre	3	
conjouir	4	
conjurer	6	
connaître	135	
conquérir	46	
conquêter	8	
conréer	11	
consacrer	1	
consecrer	1	
conseiller	7	
conseiller2	26	
consentir	16	
conserver	1	
considérer	6	
consigner	1	
consoler	1	
consolider	2	
consommer	1	
consonner	1	
constituer	1	
consuivre	5	
contendre	3	
contenir	8	
contenter	1	
conter	88	
continuer	3	
contraindre	7	
contrarier	2	
contredire	13	
contrefaire	2	
contrester	2	
contretenir	3	
contrister	2	
contrôler	1	
controuver	3	
convenancer	1	
convenir	102	
converser	7	
convertir	4	
convoiter	8	
convoyer	5	
corner	1	
corriger	2	
corrompre	1	
coucher	47	
coudre	6	
couler	4	
couper	11	
coupoyer	3	
courir	62	
couronne	1	
couronner	18	
courroucer	35	
courtoyer	1	
coûter	17	
coutiver	1	
couver	1	
couvrir	26	
cracher	3	
craindre	40	
cravanter	6	
créanter	8	
créer	9	
crémir	9	
crêté	1	
crever	7	
criembre	1	
crier	53	
croire	161	
croître	38	
crouler	3	
croupir	1	
crucifier	1	
crucifix	1	
cueillir	9	
cuider	137	
cuire	14	
cultiver	1	
daigner	22	
damner	11	
danceler	1	
danser	6	
débarater	1	
debattre	4	
débattre	1	
débiliter	1	
débourser	1	
débouter	8	
débriser	1	
débusquer	3	
déceler	1	
décevoir	38	
décharger	2	
déchasser	2	
déchausser	3	
déchoir	4	
