wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,bon,bon,1,Adj,Adj,bon,C/V\,ADJ,bon,10
2,1,2,seneschal,seneschal,1,N,N,,C/V\.C/e\.'C/V\,NOUN,sénéchal,8
3,1,3,de,de,1,Pre,Pre,de,C/(e)\,ADP,de,10
4,1,4,haynau,haynau,1,N,N,,C/V\.'C/V\,NOUN,Hainaut,2
5,1,5,",",",",1,Pnc,Pnc,,,PUNCT,",",9
6,1,6,preux,preux,1,Adj,Adj,preux,C/V\,ADJ,preux,10
7,1,7,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
8,1,8,sage,sage,1,Adj,Adj,sage,'C/V\.C/(e)\,ADJ,sage,10
9,1,9,",",",",1,Pnc,Pnc,,,PUNCT,",",9
10,2,1,vaillant,vaillant,2,Vprs,Vprs,valoir,C/V\.'C/V\,VERB,valoir,10
11,2,2,en,en,2,Pre,Pre,en,/V\,ADP,en,10
12,2,3,fais,fais,2,N,N,,C/V\,NOUN,faix,3
13,2,4,et,et,2,Crd,Crd,et,/V\,CCONJ,et,10
14,2,5,de,de,2,Pre,Pre,de,C/(e)\,ADP,de,10
15,2,6,gentil,gentil,2,Adj,Adj,gentil,C/V\.'C/V\,ADJ,gentil,10
16,2,7,lignage,lignage,2,N,N,,C/V\.'C/V\.C/(e)\,NOUN,lignage,9
17,2,8,",",",",2,Pnc,Pnc,,,PUNCT,",",9
18,3,1,loyal,loyal,3,Adj,Adj,,C/V\.'C/V\,ADJ,loyal,9
19,3,2,",",",",3,Pnc,Pnc,,,PUNCT,",",9
20,3,3,courtois,courtois,3,Adj,Adj,,C/V\.'C/V\,ADJ,courtois,9
21,3,4,de,de,3,Pre,Pre,de,C/(e)\,ADP,de,10
22,3,5,fait,fait,3,N,N,,C/V\,NOUN,fait,8
23,3,6,et,et,3,Crd,Crd,et,/V\,CCONJ,et,10
24,3,7,de,de,3,Pre,Pre,de,C/(e)\,ADP,de,10
25,3,8,courage,courage,3,N,N,,C/V\.'C/V\.C/(e)\,NOUN,courage,8
26,3,9,",",",",3,Pnc,Pnc,,,PUNCT,",",9
27,4,1,duit,duit,4,Vpp,Vpp,duire,C/V\,VERB,duire,10
28,4,2,et,et,4,Crd,Crd,et,/V\,CCONJ,et,10
29,4,3,appris,appris,4,Vpp,Vpp,apprendre,/V\.'C/V\,VERB,apprendre,10
30,5,1,de,de,5,Pre,Pre,de,C/(e)\,ADP,de,10
31,5,2,tous,tous,5,QIs,QIs,tout,C/V\,DET,tout,10
32,5,3,les,les,5,Det,Det,le,C/V\,DET,le,10
33,5,4,biens,biens,5,N,N,bien,C/V\,NOUN,bien,10
34,5,5,qui,qui,5,Qux,Qux,qui,C/V\,PRON,qui,10
35,5,6,en,en,5,Pre,Pre,en,/V\,ADP,en,10
36,5,7,bon,bon,5,Adj,Adj,bon,C/V\,ADJ,bon,10
37,5,8,sont,sont,5,Vfin,Vfin,être,C/V\,VERB,être,10
38,5,9,compris,compris,5,Vpp,Vpp,comprendre,C/V\.'C/V\,VERB,comprendre,10
39,5,10,",",",",5,Pnc,Pnc,,,PUNCT,",",9
40,6,1,par,par,6,Pre,Pre,par,C/V\,ADP,par,10
41,6,2,noblece,noblece,6,N,N,,C/V\.'C/V\.C/(e)\,NOUN,noblesse,8
42,6,3,de,de,6,Pre,Pre,de,C/(e)\,ADP,de,10
43,6,4,cuer,cuer,6,N,N,,C/V\,NOUN,coeur,3
44,6,5,duis,duis,6,Vpp,Vpp,duire,C/V\,VERB,duire,10
45,6,6,et,et,6,Crd,Crd,et,/V\,CCONJ,et,10
46,6,7,appris,appris,6,Vpp,Vpp,apprendre,/V\.'C/V\,VERB,apprendre,10
47,7,1,es,es,7,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10
48,7,2,las,las,7,N,N,,C/V\,NOUN,lacs,3
49,7,3,d',d',7,Pre,Pre,de,C/\,ADP,de,10
50,7,4,amours,amours,7,N,N,,/V\.'C/V\,NOUN,amour,8
51,7,5,pour,pour,7,Pre,Pre,pour,C/V\,ADP,pour,10
52,7,6,accroistre,accroistre,7,Vinf,Vinf,accroître,/V\.'C/V\.C/(e)\,VERB,accroître,10
53,7,7,le,le,7,Det,Det,le,C/(e)\,DET,le,10
54,7,8,pris,pris,7,N,N,,C/V\,NOUN,prix,3
55,8,1,de,de,8,Pre,Pre,de,C/(e)\,ADP,de,10
56,8,2,vo,vo,8,Det,Det,votre,C/V\,DET,votre,10
57,8,3,noblece,noblece,8,N,N,,C/V\.'C/V\.C/(e)\,NOUN,noblesse,8
58,8,4,",",",",8,Pnc,Pnc,,,PUNCT,",",9
59,9,1,sage,sage,9,Adj,Adj,sage,'C/V\.C/(e)\,ADJ,sage,10
60,9,2,a,a,9,Pre,Pre,à,/V\,ADP,à,10
61,9,3,juger,juger,9,Vinf,Vinf,,C/V\.'C/V\,VERB,juger,9
62,9,4,du,du,9,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
63,9,5,mal,mal,9,N,N,mal,C/V\,NOUN,mal,10
64,9,6,d',d',9,Pre,Pre,de,C/\,ADP,de,10
65,9,7,amours,amours,9,N,N,,/V\.'C/V\,NOUN,amour,8
66,9,8,qui,qui,9,Qux,Qux,qui,C/V\,PRON,qui,10
67,9,9,blesse,blesse,9,Vfin,Vfin,,'C/V\.C/(e)\,VERB,blesser,6
68,9,10,",",",",9,Pnc,Pnc,,,PUNCT,",",9
69,10,1,quieulx,quieulx,10,Qux,Qux,quel,C/V\,PRON,quel,10
70,10,2,sont,sont,10,Vfin,Vfin,être,C/V\,VERB,être,10
71,10,3,les,les,10,Det,Det,le,C/V\,DET,le,10
72,10,4,tours,tours,10,N,N,,C/V\,NOUN,tour,8
73,10,5,",",",",10,Pnc,Pnc,,,PUNCT,",",9
74,10,6,soit,soit,10,Vfin,Vfin,être,C/V\,VERB,être,10
75,10,7,en,en,10,Pre,Pre,en,/V\,ADP,en,10
76,10,8,force,force,10,N,N,,'C/V\.C/(e)\,NOUN,force,3
77,10,9,ou,ou,10,Crd,Crd,ou,/V\,CCONJ,ou,10
78,10,10,foiblece,foiblece,10,N,N,,C/V\.'C/V\.C/(e)\,NOUN,faiblesse,9
79,10,11,",",",",10,Pnc,Pnc,,,PUNCT,",",9
80,11,1,pour,pour,11,Pre,Pre,pour,C/V\,ADP,pour,10
81,11,2,ce,ce,11,Prn,Prn,ce,C/(e)\,PRON,ce,10
82,11,3,vous,vous,11,Prn,Prn$$,vous,C/V\,PRON,vous,10
83,11,4,ay,ay,11,Vfin,Vfin,avoir,/V\,VERB,avoir,10
84,11,5,",",",",11,Pnc,Pnc,,,PUNCT,",",9
85,11,6,chier,chier,11,Adj,Adj,cher,C/V\,ADJ,cher,10
86,11,7,sire,sire,11,N,N,,'C/V\.C/(e)\,NOUN,sire,11
87,11,8,",",",",11,Pnc,Pnc,,,PUNCT,",",9
88,11,9,plain,plain,11,Adj,Adj,plein,C/V\,ADJ,plein,10
89,11,10,d',d',11,Pre,Pre,de,C/\,ADP,de,10
90,11,11,umblece,umblece,11,N,N,,/V\.'C/V\.C/(e)\,NOUN,humblesse,6
91,11,12,",",",",11,Pnc,Pnc,,,PUNCT,",",9
92,12,1,esleu,esleu,12,Vpp,Vpp,élire,/V\.C/(V)\.'/V\,VERB,élire,10
93,12,2,a,a,12,Pre,Pre,à,/V\,ADP,à,10
94,12,3,juge,juge,12,N,N,,'C/V\.C/(e)\,NOUN,juge,3
95,12,4,.,.,12,Pnc,Pnc,,,PUNCT,.,9
96,13,1,car,car,13,Crd,Crd,car,C/V\,CCONJ,car,10
97,13,2,vo,vo,13,Det,Det,votre,C/V\,DET,votre,10
98,13,3,bon,bon,13,Adj,Adj,bon,C/V\,ADJ,bon,10
99,13,4,cuer,cuer,13,N,N,,C/V\,NOUN,coeur,3
100,13,5,bien,bien,13,Adv,Adv,bien,C/V\,ADV,bien,10
101,13,6,sçay,sçay,13,Vfin,Vfin,savoir,C/V\,VERB,savoir,10
102,13,7,que,que,13,Sub,Sub,que,C/(e)\,SCONJ,que,10
103,13,8,le,le,13,Det,Det,le,C/(e)\,DET,le,10
104,13,9,droit,droit,13,N,N,droit,C/V\,NOUN,droit,10
105,13,10,juge,juge,13,Vfin,Vfin,,'C/V\.C/(e)\,VERB,juger,8
106,14,1,ou,ou,14,Qux,Qux,où,/V\,PRON,où,10
107,14,2,il,il,14,Prn,Prn$,il,/V\,PRON,il,10
108,14,3,affiert,affiert,14,Vfin,Vfin,afférir,/V\.'C/V\,VERB,afférir,10
109,14,4,;,;,14,Pnc,Pnc,,,PUNCT,;,9
110,14,5,pour,pour,14,Pre,Pre,pour,C/V\,ADP,pour,10
111,14,6,ce,ce,14,Prn,Prn,ce,C/(e)\,PRON,ce,10
112,14,7,vien,vien,14,Vfin,Vfin,venir,C/V\,VERB,venir,10
113,14,8,a,a,14,Pre,Pre,à,/V\,ADP,à,10
114,14,9,reffuge,reffuge,14,N,N,,C/V\.'C/V\.C/(e)\,NOUN,refuge,9
115,15,1,a,a,15,Pre,Pre,à,/V\,ADP,à,10
116,15,2,vous,vous,15,Prn,Prn,vous,C/V\,PRON,vous,10
117,15,3,",",",",15,Pnc,Pnc,,,PUNCT,",",9
118,15,4,ainsi,ainsi,15,Adv,Adv,ainsi,/V\.'C/V\,ADV,ainsi,10
119,15,5,comme,comme,15,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
120,15,6,ou,ou,15,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10
121,15,7,temps,temps,15,N,N,,C/V\,NOUN,temps,8
122,15,8,du,du,15,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
123,15,9,deluge,deluge,15,N,N,,C/V\.'C/V\.C/(e)\,NOUN,déluge,9
124,16,1,qui,qui,16,Qux,Qux,qui,C/V\,PRON,qui,10
125,16,2,tout,tout,16,QIs,QIs,tout,C/V\,PRON,tout,10
126,16,3,noya,noya,16,Vfin,Vfin,noyer,C/V\.'C/V\,VERB,noyer,10
127,16,4,",",",",16,Pnc,Pnc,,,PUNCT,",",9
128,17,1,le,le,17,Det,Det,le,C/(e)\,DET,le,10
129,17,2,coulomb,coulomb,17,N,N,,C/V\.'C/V\,NOUN,colombe,6
130,17,3,blanc,blanc,17,Adj,Adj,blanc,C/V\,ADJ,blanc,10
131,17,4,a,a,17,Pre,Pre,à,/V\,ADP,à,10
132,17,5,l',l',17,Det,Det,le,C/\,DET,le,10
133,17,6,arche,arche,17,N,N,,'/V\.C/(e)\,NOUN,arche,3
134,17,7,s',s',17,Prn,Prn$$,se,C/\,PRON,se,10
135,17,8,avoya,avoya,17,Vfin,Vfin,,/V\.C/V\.'C/V\,VERB,avoyer,9
136,17,9,",",",",17,Pnc,Pnc,,,PUNCT,",",9
137,18,1,la,la,18,Adv,Adv,là,C/V\,ADV,là,10
138,18,2,attendi,attendi,18,Vfin,Vfin,attendre,/V\.C/V\.'C/V\,VERB,attendre,10
139,18,3,tant,tant,18,QIs,QIs,tant,C/V\,ADV,tant,10
140,18,4,que,que,18,Sub,Sub,que,C/(e)\,SCONJ,que,10
141,18,5,souleil,souleil,18,N,N,,C/V\.'C/V\,NOUN,soleil,9
142,18,6,roya,roya,18,Vfin,Vfin,,C/V\.'C/V\,VERB,rayer,0
143,18,7,;,;,18,Pnc,Pnc,,,PUNCT,;,9
144,19,1,auques,auques,19,Adv,Adv,auques,'/V\.C/e\,ADV,auques,10
145,19,2,ainsi,ainsi,19,Adv,Adv,ainsi,/V\.'C/V\,ADV,ainsi,10
146,19,3,mon,mon,19,Det,Det,mon,C/V\,DET,mon,10
147,19,4,cuer,cuer,19,N,N,,C/V\,NOUN,coeur,3
148,19,5,celle,celle,19,Dem,Dem,cil,'C/V\.C/(e)\,DET,cil,10
149,19,6,voye,voye,19,N,N,,'C/V\./(e)\,NOUN,voie,8
150,19,7,a,a,19,Vfin,Vfin,avoir,/V\,VERB,avoir,10
151,20,1,prise,prise,20,Vpp,Vpp,prendre,'C/V\.C/(e)\,VERB,prendre,10
152,20,2,sans,sans,20,Pre,Pre,sans,C/V\,ADP,sans,10
153,20,3,faille,faille,20,N,N,,'C/V\.C/(e)\,NOUN,faille,8
154,20,4,",",",",20,Pnc,Pnc,,,PUNCT,",",9
155,21,1,pour,pour,21,Pre,Pre,pour,C/V\,ADP,pour,10
156,21,2,le,le,21,Det,Det,le,C/(e)\,DET,le,10
