wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
1,1,1,conment,conment,601,Qux,Qux,comment,7s,---,C/V\.'C/V\,ADV,comment,10
2,1,2,que,que,601,Sub,Sub,que,7s,---,C/(e)\,SCONJ,que,10
3,1,3,d',d',601,Pre,Pre,de,7s,---,C/\,ADP,de,10
4,1,4,amours,amours,601,N,N,,7s,---,/V\.'C/V\,NOUN,amour,8
5,1,5,me,me,601,Prn,Prn$$,me,7s,---,C/(e)\,PRON,me,10
6,1,6,dueille,dueille,601,Vfin,Vfin,douloir,7s,---,'C/V\.C/(e)\,VERB,douloir,10
7,1,7,",",",",601,Pnc,Pnc,,7s,---,,PUNCT,",",9
8,2,1,bien,bien,602,Adv,Adv,bien,7s,---,C/V\,ADV,bien,10
9,2,2,est,est,602,Vfin,Vfin,être,7s,---,/V\,VERB,être,10
10,2,3,drois,drois,602,Adj,Adj,droit2,7s,---,C/V\,ADJ,droit,10
11,2,4,que,que,602,Sub,Sub,que,7s,---,C/(e)\,SCONJ,que,10
12,2,5,de,de,602,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
13,2,6,li,li,602,Prn,Prn,li,7s,---,C/V\,PRON,li,10
14,2,7,chant,chant,602,Vfin,Vfin,chanter,7s,---,C/V\,VERB,chanter,10
15,3,1,et,et,603,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
16,3,2,que,que,603,Sub,Sub,que,7s,---,C/(e)\,SCONJ,que,10
17,3,3,je,je,603,Prn,Prn,je,7s,---,C/(e)\,PRON,je,10
18,3,4,ma,ma,603,Det,Det,mon,7s,---,C/V\,DET,mon,10
19,3,5,doleur,doleur,603,N,N,,7s,---,C/V\.'C/V\,NOUN,douleur,3
20,3,6,vueille,vueille,603,Vfin,Vfin,vouloir,7s,---,'C/V\.C/(e)\,VERB,vouloir,10
21,3,7,",",",",603,Pnc,Pnc,,7s,---,,PUNCT,",",9
22,4,1,quant,quant,604,Sub,Sub,quand,7s,---,C/V\,SCONJ,quand,10
23,4,2,cele,cele,604,Dem,Dem,cil,7s,---,'C/V\.C/(e)\,PRON,cil,10
24,4,3,me,me,604,Prn,Prn$$,me,7s,---,C/(e)\,PRON,me,10
25,4,4,fait,fait,604,Vfin,Vfin,faire,7s,---,C/V\,VERB,faire,10
26,4,5,samblant,samblant,604,Vprs,N,semblant,7s,---,C/V\.'C/V\,VERB,semblant,10
27,5,1,qu',qu',605,Sub,Sub,que,7s,---,C/\,SCONJ,que,10
28,5,2,a,a,605,Pre,Pre,à,7s,---,/V\,ADP,à,10
29,5,3,son,son,605,Det,Det,son4,7s,---,C/V\,DET,son,10
30,5,4,home,home,605,N,N,,7s,---,'/V\.C/(e)\,NOUN,homme,8
31,5,5,me,me,605,Prn,Prn$$,me,7s,---,C/(e)\,PRON,me,10
32,5,6,recueille,recueille,605,Vfin,Vfin,recueillir,7s,---,C/V\.'C/V\.C/(e)\,VERB,recueillir,10
33,5,7,.,.,605,Pnc,Pnc,,7s,---,,PUNCT,.,9
34,6,1,en,en,606,Pre,Pre,en,7s,---,/V\,ADP,en,10
35,6,2,doucement,doucement,606,Adv,Adv,,7s,---,C/V\.C/e\.'C/V\,ADV,doucement,9
36,6,3,decevant,decevant,606,Vprs,Vprs,décevoir,7s,---,C/V\.C/e\.'C/V\,VERB,décevoir,10
37,7,1,d',d',607,Pre,Pre,de,7s,---,C/\,ADP,de,10
