wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,Maintenant,maintenant,503,Adv,Adv,maintenant,C/V\.C/e\.'C/V\,ADV,maintenant,10
2,1,2,qu',qu',503,Sub,Sub,que,C/\,SCONJ,que,10
3,1,3,il,il,503,Prn,Prn$,il,/V\,PRON,il,10
4,1,4,fu,fu,503,Vfin,Vfin,être,C/V\,VERB,être,10
5,1,5,deschauciez,deschauciez,503,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,déchausser,9
6,2,1,el,el,504,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10
7,2,2,lit,lit,504,N,N,,C/V\,NOUN,lit,8
8,2,3,",",",",504,Pnc,Pnc,,,PUNCT,",",9
9,2,4,qui,qui,504,Qux,Qux,qui,C/V\,PRON,qui,10
10,2,5,fu,fu,504,Vfin,Vfin,être,C/V\,VERB,être,10
11,2,6,lons,lons,504,Adj,Adj,long,C/V\,ADJ,long,10
12,2,7,et,et,504,Crd,Crd,et,/V\,CCONJ,et,10
13,2,8,hauciez,hauciez,504,Vpp,Vpp,,C/V\.'C/V\,VERB,hausser,9
14,3,1,plus,plus,505,Adv,Adv,plus,C/V\,ADV,plus,10
15,3,2,des,des,505,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
16,3,3,autres,autres,505,Adj,Adj,autre,'/V\.C/e\,ADJ,autre,10
17,3,4,deus,deus,505,QIs,QIs,deux,C/V\,NUM,deux,10
18,3,5,demie,demie,505,Adj,Adj,demi,C/V\.'C/V\./(e)\,ADJ,demi,10
19,3,6,aune,aune,505,N,N,,'/V\.C/(e)\,NOUN,aune,3
20,3,7,",",",",505,Pnc,Pnc,,,PUNCT,",",9
21,4,1,se,se,506,Prn,Prn$$,se,C/(e)\,PRON,se,10
22,4,2,couche,couche,506,Vfin,Vfin,,'C/V\.C/(e)\,VERB,coucher,8
23,4,3,sor,sor,506,PrA,PrA,sur,C/V\,ADP,sur,10
24,4,4,un,un,506,QIs,QIs,un,/V\,DET,un,10
25,4,5,samit,samit,506,N,N,,C/V\.'C/V\,NOUN,samit,9
26,4,6,jaune,jaune,506,Adj,Adj,,'C/V\.C/(e)\,ADJ,jaune,9
27,4,7,",",",",506,Pnc,Pnc,,,PUNCT,",",9
28,5,1,un,un,507,QIs,QIs,un,/V\,DET,un,10
29,5,2,covertor,covertor,507,N,N,,C/V\.C/V\.'C/V\,NOUN,couverteur,9
30,5,3,d',d',507,Pre,Pre,de,C/\,ADP,de,10
31,5,4,or,or,507,N,N,,/V\,NOUN,or,8
32,5,5,estelé,estelé,507,Vpp,Vpp,,/V\.C/V\.'C/V\,VERB,étoilé,4
33,5,6,.,.,507,Pnc,Pnc,,,PUNCT,.,9
34,6,1,N',n',508,Neg,Neg$$,ne,C/\,ADV,ne,10
35,6,2,estoit,estoit,508,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
36,6,3,mie,mie,508,Neg,Neg,mie3,'C/V\./(e)\,ADV,mie,10
37,6,4,de,de,508,Pre,Pre,de,C/(e)\,ADP,de,10
38,6,5,veir,veir,508,N,N,,C/V\,NOUN,voir,5
39,6,6,pelé,pelé,508,Vpp,Vpp,,C/V\.'C/V\,VERB,peler,8
40,7,1,la,la,509,Det,Det,le,C/V\,DET,le,10
41,7,2,forreüre,forreure,509,N,N,,C/V\.C/(V)\.'/V\.C/(e)\,NOUN,fourrure,9
42,7,3,",",",",509,Pnc,Pnc,,,PUNCT,",",9
