wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,per,per,1,PRE,Pre,Pre,par,C/V\,ADP,par,10
2,1,2,bon,bon,1,ADJ:obj:masc:sg,Adj,Adj,bon,C/V\,ADJ,bon,10
3,1,3,aür,aür,1,NOM:obj:masc:sg,N,N,,/(V)\.'/V\,NOUN,heur,6
4,1,4,ici,ici,1,ADV,Adv,Adv,ici,/V\.'C/V\,ADV,ici,10
5,1,5,comance,comance,1,VER:pres:3:sg,Vfin,Vfin,commencer,C/V\.'C/V\.C/(e)\,VERB,commencer,10
6,1,6,",",",",1,PON,Pnc,Pnc,,,PUNCT,",",9
7,2,1,u,u,2,PREDET:en:obj:masc:sg,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10
8,2,2,non,non,2,NOM:obj:masc:sg,N,N,,C/V\,PROPN|NOUN,nom,8
9,2,3,de,de,2,PRE,Pre,Pre,de,C/(e)\,ADP,de,10
10,2,4,deu,deu,2,NOM:obj:masc:sg,N,N,,C/V\,PROPN,Dieu,3
11,2,5,",",",",2,PON,Pnc,Pnc,,,PUNCT,",",9
12,2,6,li,li,2,DET:def:suj:femi:sg,Det,Det,le,C/V\,DET,le,10
13,2,7,abrejance,abrejance,2,NOM:suj:femi:sg,N,N,,/V\.C/e\.'C/V\.C/(e)\,NOUN,abrégeance,9
14,3,1,de,de,3,PRE,Pre,Pre,de,C/(e)\,ADP,de,10
15,3,2,l',l',3,DET:def:obj:masc:sg,Det,Det,le,C/\,DET,le,10
16,3,3,ordre,ordre,3,NOM:obj:masc:sg,N,N,,'/V\.C/(e)\,NOUN,ordre,8
17,3,4,de,de,3,PRE,Pre,Pre,de,C/(e)\,ADP,de,10
18,3,5,chevalerie,chevalerie,3,NOM:obj:femi:sg,N,N,,C/V\.C/V\.C/e\.'C/V\./(e)\,NOUN,chevalerie,8
19,4,1,comant,comant,4,ADV,Qux,Qux,comment,C/V\.'C/V\,ADV,comment,10
20,4,2,doit,doit,4,VER:pres:3:sg,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10
21,4,3,estre,estre,4,VER:infi,Vinf,Vinf,être,'/V\.C/(e)\,VERB,être,10
22,4,4,estaublie,estaublie,4,VER:pper:femi:sg,Vpp,Vpp,,/V\.C/V\.'C/V\./(e)\,VERB,établie,2
23,4,5,.,.,4,PON,Pnc,Pnc,,,PUNCT,.,9
24,5,1,faite,faite,5,VER:pper:femi:sg,Vpp,Vpp,faire,'C/V\.C/(e)\,VERB,faire,10
25,5,2,fu,fu,5,VER:simp:3:sg,Vfin,Vfin,être,C/V\,VERB,être,10
26,5,3,per,per,5,PRE,Pre,Pre,par,C/V\,ADP,par,10
27,5,4,noble,noble,5,ADJ:obj:masc:sg,Adj,Adj,noble,'C/V\.C/(e)\,ADJ,noble,10
28,5,5,home,home,5,NOM:obj:masc:sg,N,N,,'/V\.C/(e)\,NOUN,homme,8
29,5,6,et,et,5,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
30,5,7,saive,saive,5,ADJ:obj:masc:sg,Adj,Adj,,'C/V\.C/(e)\,ADJ,sage,9
31,6,1,c',c',6,PROCON,Qux,Qux,que,C/\,ADJ|ADV|DET|PRON,que,10
32,6,2,on,on,6,PRO:invar,Prn,Prn$,on,/V\,PRON,on,10
33,6,3,apeloit,apeloit,6,VER:impf:3:sg,Vfin,Vfin,appeler,/V\.C/e\.'C/V\,VERB,appeler,10
34,6,4,vegece,vegece,6,NPR:obj:masc:sg,N,N,,C/V\.'C/V\.C/(e)\,NOUN,vigèce,-10
35,6,5,flaive,flaive,6,NPR:obj:masc:sg,N,N,,'C/V\.C/(e)\,PROPN|NOUN,UNKNOWN,-10
36,6,6,.,.,6,PON,Pnc,Pnc,,,PUNCT,.,9
37,7,1,per,per,7,PRE,Pre,Pre,par,C/V\,ADP,par,10
38,7,2,quatre,quatre,7,ADJ:card,QIs,QIs,quatre,'C/V\.C/(e)\,NUM,quatre,10
39,7,3,livres,livres,7,NOM:obj:masc:pl,N,N,,'C/V\.C/e\,NOUN,livre,8
40,7,4,devisez,devisez,7,VER:pper:masc:pl,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,deviser,3
41,8,1,le,le,8,PRO:pers:obj:3:masc:sg:unb,Prn,Prn$$,le,C/(e)\,PRON,le,10
42,8,2,troveroiz,troveroiz,8,VER:futu:2:pl,Vfin,Vfin,trouver,C/V\.C/e\.'C/V\,VERB,trouver,10
43,8,3,",",",",8,PON,Pnc,Pnc,,,PUNCT,",",9
44,8,4,s,s,8,PROCON,Sub,Sub,si3,C/\,SCONJ,si,10
45,8,5,avant,avant,8,PRE,PrA,PrA,avant,/V\.'C/V\,ADV,avant,10
46,8,6,lisez,lisez,8,VER:pres:2:pl,Vfin,Vfin,lire,C/V\.'C/V\,VERB,lire,10
47,8,7,.,.,8,PON,Pnc,Pnc,,,PUNCT,.,9
48,9,1,li,li,9,DET:def:suj:masc:sg,Det,Det,le,C/V\,DET,le,10
49,9,2,premiers,premiers,9,ADJ:ord:suj:masc:sg,Adj,Adj,premier,C/V\.C/<V>\.'/V\,ADJ,premier,10
50,9,3,livres,livres,9,NOM:suj:masc:sg,N,N,,'C/V\.C/e\,NOUN,livre,8
51,9,4,nos,nos,9,PRO:pers:1:pl,Prn,Prn$$,nous,C/V\,PRON,nous,10
52,9,5,ensoingne,ensoingne,9,VER:pres:3:sg,Vfin,Vfin,,/V\.'C/V\.C/(e)\,VERB,essoiner,5
53,9,6,",",",",9,PON,Pnc,Pnc,,,PUNCT,",",9
54,10,1,vegeces,vegeces,10,NPR:suj:masc:sg,N,N,,C/V\.'C/V\.C/e\,NOUN,vigèce,-10
55,10,2,flaives,flaives,10,NPR:suj:masc:sg,N,N,,'C/V\.C/e\,PROPN|NOUN,UNKNOWN,-10
56,10,3,le,le,10,PRO:pers:obj:3:masc:sg:unb,Prn,Prn$$,le,C/(e)\,PRON,le,10
57,10,4,tesmoingne,tesmoingne,10,VER:pres:3:sg,Vfin,Vfin,,C/V\.'C/V\.C/(e)\,VERB,témoigner,9
58,10,5,",",",",10,PON,Pnc,Pnc,,,PUNCT,",",9
59,11,1,et,et,11,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
60,11,2,eslire,eslire,11,VER:infi,Vinf,Vinf,élire,/V\.'C/V\.C/(e)\,VERB,élire,10
61,11,3,las,las,11,DET:def:obj:masc:pl,Det,Det,le,C/V\,DET,le,10
62,11,4,jovanciaux,jovanciaux,11,NOM:obj:masc:pl,N,N,,C/V\.C/V\.'C/V\,NOUN,jouvenceau,0
