wd_id,word,lex_id,pos_nca,chapter_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,jadis,jadis,ADV,5,151,Adv,Adv,jadis,C/V\.'C/V\,ADV,jadis,10
2,a,a,VER:pres:3:sg,5,151,Vfin,Vfin,avoir,/V\,VERB,avoir,10
3,une,une,DET:ndf:obj:femi:sg,5,151,QIs,QIs,un,'/V\.C/(e)\,DET,un,10
4,femme,femme,NOM:obj:femi:sg,5,151,N,N,,'C/V\.C/(e)\,NOUN,femme,3
5,qui,qui,PROCON,5,151,Qux,Qux,qui,C/V\,PRON,qui,10
6,avoit,avoit,VER:impf:3:sg,5,151,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10
7,non,non,NOM:obj:masc:sg,5,151,N,N,,C/V\,NOUN,nom,8
8,amelot,amelot,NPR:obj:femi:sg,5,151,N,N,,/V\.C/e\.'C/V\,NOUN,Amelot,2
9,",",",",PON,5,151,Pnc,Pnc,,,PUNCT,",",9
10,qui,qui,PROCON,5,151,Qux,Qux,qui,C/V\,PRON,qui,10
11,disoit,disoit,VER:impf:3:sg,5,151,Vfin,Vfin,dire,C/V\.'C/V\,VERB,dire,10
12,que,que,PROCON,5,151,Sub,Sub,que,C/(e)\,SCONJ,que,10
13,ele,ele,PRO:pers:suj:3:femi:sg,5,151,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
14,estoit,estoit,VER:impf:3:sg,5,151,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
15,de,de,PRE,5,151,Pre,Pre,de,C/(e)\,ADP,de,10
16,chambli,chambli,NPR:obj:masc:sg,5,151,N,N,,C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10
17,le,le,DET:def:obj:masc:sg,5,151,Det,Det,le,C/(e)\,DET,le,10
18,haubergier,haubergier,NPR:obj:masc:sg,5,151,N,N,,C/V\.C/V\.'C/V\,NOUN,haubergier,5
19,",",",",PON,5,151,Pnc,Pnc,,,PUNCT,",",9
20,de,de,PRE,5,151,Pre,Pre,de,C/(e)\,ADP,de,10
21,trente,trente,ADJ:card,5,151,QIs,QIs,trente,'C/V\.C/(e)\,NUM,trente,10
22,anz,anz,NOM:obj:masc:pl,5,151,N,N,,/V\,NOUN,an,8
23,et,et,CON:coord,5,151,Crd,Crd,et,/V\,CCONJ,et,10
24,plus,plus,ADV,5,151,Adv,Adv,plus,C/V\,ADV,plus,10
25,",",",",PON,5,151,Pnc,Pnc,,,PUNCT,",",9
26,aloit,aloit,VER:impf:3:sg,5,151,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
27,par,par,PRE,5,151,Pre,Pre,par,C/V\,ADP,par,10
28,la,la,DET:def:obj:femi:sg,5,151,Det,Det,le,C/V\,DET,le,10
29,vile,vile,NOM:obj:femi:sg,5,151,N,N,,'C/V\.C/(e)\,NOUN,ville,8
30,de,de,PRE,5,151,Pre,Pre,de,C/(e)\,ADP,de,10
31,saint,saint,ADJ:obj:masc:sg,5,151,Adj,Adj,saint,C/V\,ADJ,saint,10
32,denis,denis,NPR:obj:masc:sg,5,151,N,N,,C/V\.'C/V\,NOUN,Denis,2
