wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
1,1,1,la,la,XXIV(IIp536)_1,Det,Det,le,7s,---,C/V\,DET,le,10
2,1,2,bible,bible,XXIV(IIp536)_1,N,N,,7s,---,'C/V\.C/(e)\,NOUN,bible,9
3,1,3,fait,fait,XXIV(IIp536)_1,Vfin,Vfin,faire,7s,---,C/V\,VERB,faire,10
4,1,4,mention,mention,XXIV(IIp536)_1,N,N,,7s,---,C/V\.C/{V}\.'/V\,NOUN,mention,9
5,2,1,de,de,XXIV(IIp536)_2,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
6,2,2,l',l',XXIV(IIp536)_2,Det,Det,le,7s,---,C/\,DET,le,10
7,2,3,extreme,extreme,XXIV(IIp536)_2,Adj,Adj,,7s,---,/V\.'C/V\.C/(e)\,ADJ,extrême,9
8,2,4,vaillantise,vaillantise,XXIV(IIp536)_2,N,N,,7s,---,C/V\.C/V\.'C/V\.C/(e)\,NOUN,vaillantise,9
9,3,1,que,que,XXIV(IIp536)_3,Qux,Qux,que,7s,---,C/(e)\,PRON,que,10
10,3,2,noef,noef,XXIV(IIp536)_3,QIs,QIs,neuf,7s,---,C/V\,NUM,neuf,10
11,3,3,preux,preux,XXIV(IIp536)_3,Adj,Adj,preux,7s,---,C/V\,ADJ,preux,10
12,3,4,de,de,XXIV(IIp536)_3,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
13,3,5,gourmandise,gourmandise,XXIV(IIp536)_3,N,N,,7s,---,C/V\.C/V\.'C/V\.C/(e)\,NOUN,gourmandise,6
14,4,1,firent,firent,XXIV(IIp536)_4,Vfin,Vfin,faire,7s,---,'C/V\.C/e\,VERB,faire,10
15,4,2,par,par,XXIV(IIp536)_4,Pre,Pre,par,7s,---,C/V\,ADP,par,10
16,4,3,potation,potation,XXIV(IIp536)_4,N,N,,7s,---,C/V\.C/V\.C/{V}\.'/V\,NOUN,potation,9
17,4,4,.,.,XXIV(IIp536)_4,Pnc,Pnc,,7s,---,,PUNCT,.,9
18,5,1,je,je,XXIV(IIp536)_5,Prn,Prn$,je,7s,---,C/(e)\,PRON,je,10
19,5,2,suis,suis,XXIV(IIp536)_5,Vfin,Vfin,être,7s,---,C/V\,VERB,être,10
20,5,3,noel,noel,XXIV(IIp536)_5,Adj,Adj,,7s,---,C/V\.'C/V\,ADJ,noel,-10
21,5,4,qui,qui,XXIV(IIp536)_5,Qux,Qux,qui,7s,---,C/V\,PRON,qui,10
22,5,5,plantay,plantay,XXIV(IIp536)_5,Vfin,Vfin,planter,7s,---,C/V\.'C/V\,VERB,planter,10
23,6,1,la,la,XXIV(IIp536)_6,Det,Det,le,7s,---,C/V\,DET,le,10
24,6,2,vigne,vigne,XXIV(IIp536)_6,N,N,,7s,---,'C/V\.C/(e)\,NOUN,vigne,8
25,6,3,aprés,aprés,XXIV(IIp536)_6,PrA,PrA,après,7s,---,/V\.'C/V\,ADP,après,10
26,6,4,le,le,XXIV(IIp536)_6,Det,Det,le,7s,---,C/(e)\,DET,le,10
27,6,5,deluge,deluge,XXIV(IIp536)_6,N,N,,7s,---,C/V\.'C/V\.C/(e)\,NOUN,déluge,9
28,6,6,;,;,XXIV(IIp536)_6,Pnc,Pnc,,7s,---,,PUNCT,;,9
29,7,1,j',j',XXIV(IIp536)_7,Prn,Prn$,je,7s,---,C/\,PRON,je,10
30,7,2,en,en,XXIV(IIp536)_7,Prn,Prn$$,en2,7s,---,/V\,PRON,en,10
31,7,3,tiray,tiray,XXIV(IIp536)_7,Vfin,Vfin,tirer,7s,---,C/V\.'C/V\,VERB,tirer,10
32,7,4,vin,vin,XXIV(IIp536)_7,N,N,,7s,---,C/V\,NOUN,vin,8
33,7,5,et,et,XXIV(IIp536)_7,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
34,7,6,goustay,goustay,XXIV(IIp536)_7,Vfin,Vfin,goûter,7s,---,C/V\.'C/V\,VERB,goûter,10
35,7,7,",",",",XXIV(IIp536)_7,Pnc,Pnc,,7s,---,,PUNCT,",",9
36,8,1,tant,tant,XXIV(IIp536)_8,QIs,QIs,tant,7s,---,C/V\,ADV,tant,10
37,8,2,en,en,XXIV(IIp536)_8,Pre,Pre,en,7s,---,/V\,ADP,en,10
38,8,3,mon,mon,XXIV(IIp536)_8,Det,Det,mon,7s,---,C/V\,DET,mon,10
39,8,4,ventre,ventre,XXIV(IIp536)_8,N,N,,7s,---,'C/V\.C/(e)\,NOUN,ventre,8
40,8,5,en,en,XXIV(IIp536)_8,Prn,Prn$$,en2,7s,---,/V\,PRON,en,10
41,8,6,bouttay,bouttay,XXIV(IIp536)_8,Vfin,Vfin,bouter,7s,---,C/V\.'C/V\,VERB,bouter,10
42,9,1,que,que,XXIV(IIp536)_9,Sub,Sub,que,7s,---,C/(e)\,SCONJ,que,10
43,9,2,dormir,dormir,XXIV(IIp536)_9,Vinf,Vinf,dormir,7s,---,C/V\.'C/V\,VERB,dormir,10
44,9,3,me,me,XXIV(IIp536)_9,Prn,Prn$$,me,7s,---,C/(e)\,PRON,me,10
45,9,4,fut,fut,XXIV(IIp536)_9,Vfin,Vfin,être,7s,---,C/V\,VERB,être,10
46,9,5,refuge,refuge,XXIV(IIp536)_9,N,N,,7s,---,C/V\.'C/V\.C/(e)\,NOUN,refuge,9
47,9,6,;,;,XXIV(IIp536)_9,Pnc,Pnc,,7s,---,,PUNCT,;,9
48,10,1,de,de,XXIV(IIp536)_10,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
49,10,2,cham,cham,XXIV(IIp536)_10,N,N,,7s,---,C/V\,NOUN,Cham,2
50,10,3,",",",",XXIV(IIp536)_10,Pnc,Pnc,,7s,---,,PUNCT,",",9
51,10,4,mon,mon,XXIV(IIp536)_10,Det,Det,mon,7s,---,C/V\,DET,mon,10
52,10,5,fils,fils,XXIV(IIp536)_10,N,N,,7s,---,C/V\,NOUN,fils,3
53,10,6,",",",",XXIV(IIp536)_10,Pnc,Pnc,,7s,---,,PUNCT,",",9
54,10,7,raillié,raillié,XXIV(IIp536)_10,Vpp,Vpp,railler,7s,---,C/V\.'C/V\,VERB,railler,10
55,10,8,fus,fus,XXIV(IIp536)_10,Vfin,Vfin,être,7s,---,C/V\,VERB,être,10
56,10,9,je,je,XXIV(IIp536)_10,Prn,Prn%,je,7s,---,C/(e)\,PRON,je,10
57,10,10,",",",",XXIV(IIp536)_10,Pnc,Pnc,,7s,---,,PUNCT,",",9
