wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,oiiés,oiiés,VER:impe:2:pl,1,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10
2,1,2,oiiés,oiiés,VER:impe:2:pl,1,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10
3,1,3,seigneur,seigneur,NOM:suj:masc:pl,1,N,N,,C/V\.'C/V\,NOUN,seigneur,8
4,1,4,et,et,CON:coord,1,Crd,Crd,et,/V\,CCONJ,et,10
5,1,5,dames,dames,NOM:suj:femi:pl,1,N,N,,'C/V\.C/e\,NOUN,dame,3
6,2,1,que,que,PROCON,2,Sub,Sub,que,C/(e)\,SCONJ,que,10
7,2,2,dieus,dieus,NOM:suj:masc:sg,2,N,N,,C/V\,PROPN,Dieu,0
8,2,3,vous,vous,PRO:pers:2:pl,2,Prn,Prn$$,vous,C/V\,PRON,vous,10
9,2,4,soit,soit,VER:subp:3:sg,2,Vfin,Vfin,être,C/V\,VERB,être,10
10,2,5,garans,garans,NOM:suj:masc:sg,2,N,N,,C/V\.'C/V\,NOUN,garant,9
11,2,6,as,as,PREDET:a:obj:femi:pl,2,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
12,2,7,ames,ames,NOM:obj:femi:pl,2,N,N,,'/V\.C/e\,NOUN,âme,8
13,3,1,de,de,PRE,3,Pre,Pre,de,C/(e)\,ADP,de,10
14,3,2,vostre,vostre,DET:poss:obj:masc:sg,3,Det,Det,votre,'C/V\.C/(e)\,DET,votre,10
15,3,3,preu,preu,NOM:obj:masc:sg,3,N,N,preu,C/V\,NOUN,preu,10
16,3,4,ne,ne,PRO:clit,3,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
17,3,5,vous,vous,PRO:pers:2:pl,3,Prn,Prn$$,vous,C/V\,PRON,vous,10
18,3,6,anuit,anuit,VER:subp:3:sg,3,Vfin,Vfin,ennuyer,/V\.'C/V\,VERB,ennuyer,10
19,4,1,nous,nous,PRO:pers:1:pl,4,Prn,Prn$,nous,C/V\,PRON,nous,10
20,4,2,volommes,volommes,VER:pres:1:pl,4,Vfin,Vfin,vouloir,C/V\.'C/V\.C/e\,VERB,vouloir,10
21,4,3,parler,parler,VER:infi,4,Vinf,Vinf,parler,C/V\.'C/V\,VERB,parler,10
22,4,4,anuit,anuit,ADV,4,Adv,Adv,anuit,/V\.'C/V\,ADV,anuit,10
23,5,1,de,de,PRE,5,Pre,Pre,de,C/(e)\,ADP,de,10
24,5,2,saint,saint,ADJ:obj:masc:sg,5,Adj,Adj,saint,C/V\,ADJ,saint,10
25,5,3,nicolai,nicolai,NPR:obj:masc:sg,5,N,N,,C/V\.C/V\.'C/V\,NOUN,Nicolas,2
26,5,4,le,le,DET:def:obj:masc:sg,5,Det,Det,le,C/(e)\,DET,le,10
27,5,5,confés,confés,NOM:obj:masc:sg,5,N,N,,C/V\.'C/V\,NOUN,confès,3
28,6,1,qui,qui,PROCON,6,Qux,Qux,qui,C/V\,PRON,qui,10
29,6,2,tant,tant,ADV,6,QIs,QIs,tant,C/V\,ADV,tant,10
30,6,3,biaus,biaus,ADJ:obj:masc:pl,6,Adj,Adj,beau,C/V\,ADJ,beau,10
31,6,4,miracles,miracles,NOM:obj:masc:pl,6,N,N,,C/V\.'C/V\.C/e\,NOUN,miracle,8
32,6,5,a,a,VER:pres:3:sg,6,Vfin,Vfin,avoir,/V\,VERB,avoir,10
33,6,6,fais,fais,VER:pper:masc:pl,6,Vpp,Vpp,faire,C/V\,VERB,faire,10
