wd_id,line_id,linewd,word,lex_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,mes,mes,Crd,Crd,mais,C/V\,CCONJ,mais,10
2,1,2,suers,suers,N,N,,C/V\,NOUN,soeur,3
3,1,3,",",",",Pnc,Pnc,,,PUNCT,",",9
4,1,4,dites,dites,Vfin,Vfin,dire,'C/V\.C/e\,VERB,dire,10
5,1,5,moy,moy,Prn,Prn%%,moi,C/V\,PRON,moi,10
6,1,6,sanz,sanz,Pre,Pre,sans,C/V\,ADP,sans,10
7,1,7,sejour,sejour,N,N,,C/V\.'C/V\,NOUN,séjour,9
8,1,8,",",",",Pnc,Pnc,,,PUNCT,",",9
9,2,1,il,il,Prn,Prn$,il,/V\,PRON,il,10
10,2,2,est,est,Vfin,Vfin,être,/V\,VERB,être,10
11,2,3,hui,hui,Adv,Adv,hui2,/V\,ADV,hui,10
12,2,4,grant,grant,Adj,Adj,grand,C/V\,ADJ,grand,10
13,2,5,feste,feste,N,N,,'C/V\.C/(e)\,NOUN,fête,3
14,2,6,et,et,Crd,Crd,et,/V\,CCONJ,et,10
15,2,7,bon,bon,Adj,Adj,bon,C/V\,ADJ,bon,10
16,2,8,jour,jour,N,N,,C/V\,NOUN,jour,8
17,2,9,",",",",Pnc,Pnc,,,PUNCT,",",9
18,3,1,avez,avez,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10
19,3,2,vous,vous,Prn,Prn%,vous,C/V\,PRON,vous,10
20,3,3,point,point,Neg,Neg,point2,C/V\,ADV,point,10
21,3,4,fait,fait,Vpp,Vpp,faire,C/V\,VERB,faire,10
22,3,5,assavoir,assavoir,Adv,Adv,assavoir,/V\.C/V\.'C/V\,ADV,assavoir,10
23,4,1,aux,aux,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
24,4,2,freres,freres,N,N,,'C/V\.C/e\,NOUN,frère,8
25,4,3,qu',qu',Sub,Sub,que,C/\,SCONJ,que,10
26,4,4,un,un,QIs,QIs,un,/V\,DET,un,10
27,4,5,sermon,sermon,N,N,,C/V\.'C/V\,NOUN,sermon,8
28,4,6,avoir,avoir,Vinf,Vinf,avoir,/V\.'C/V\,VERB,avoir,10
29,5,1,peussions,peussions,Vfin,Vfin,pouvoir2,C/(V)\./V\.C/{V}\.'/V\,VERB,pouvoir,10
30,5,2,hui,hui,Adv,Adv,hui2,/V\,ADV,hui,10
31,5,3,?,?,Pnc,Pnc,,,PUNCT,?,9
32,6,1,dame,dame,N,N,,'C/V\.C/(e)\,NOUN,dame,8
33,6,2,",",",",Pnc,Pnc,,,PUNCT,",",9
34,6,3,se,se,Sub,Sub,si3,C/(e)\,SCONJ,si,10
