wd_id,word,lex_id,page_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,En,en,1022,Pre,Pre,en,/V\,ADP,en,10
2,cellui,cellui,1022,Dem,Dem,cil,C/V\.'C/V\,DET,cil,10
3,temps,temps,1022,N,N,,C/V\,NOUN,temps,8
4,",",",",1022,Pnc,Pnc,,,PUNCT,",",9
5,en,en,1022,Pre,Pre,en,/V\,ADP,en,10
6,la,la,1022,Det,Det,le,C/V\,DET,le,10
7,court,court,1022,N,N,,C/V\,NOUN,cour,3
8,de,de,1022,Pre,Pre,de,C/(e)\,ADP,de,10
9,la,la,1022,Det,Det,le,C/V\,DET,le,10
10,royne,royne,1022,N,N,,C/(V)\.'/V\.C/(e)\,NOUN,reine,8
11,Bonne,bonne,1022,Adj,Adj,bon,'C/V\.C/(e)\,ADJ,bon,10
12,de,de,1022,Pre,Pre,de,C/(e)\,ADP,de,10
13,Bouesme,bouesme,1022,N,N,,C/V\.'C/V\.C/(e)\,PROPN,Bohême,6
14,",",",",1022,Pnc,Pnc,,,PUNCT,",",9
15,femme,femme,1022,N,N,,'C/V\.C/(e)\,NOUN,femme,3
16,dudit,dudit,1022,Pre+Dem,Pre+Dem,de.ledit,C/V\.'C/V\,ADP.DET,de.ledit,10
17,roy,roy,1022,N,N,,C/V\,NOUN,roi,8
18,Jehan,jehan,1022,N,N,,C/(V)\.'/V\,PROPN,Jean,8
19,",",",",1022,Pnc,Pnc,,,PUNCT,",",9
20,avoit,avoit,1022,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10
21,une,une,1022,QIs,QIs,un,'/V\.C/(e)\,DET,un,10
22,assez,assez,1022,Adv,Adv,assez,/V\.'C/V\,ADV,assez,10
23,josne,josne,1022,Adj,Adj,,'C/V\.C/(e)\,ADJ,jeune,9
24,dame,dame,1022,N,N,,'C/V\.C/(e)\,NOUN,dame,8
25,vesve,vesve,1022,Adj,Adj,,'C/V\.C/(e)\,ADJ,veuve,8
26,qui,qui,1022,Qux,Qux,qui,C/V\,PRON,qui,10
27,des,des,1022,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
28,Belles,belles,1022,Adj,Adj,beau,'C/V\.C/e\,ADJ,beau,10
29,Cousines,cousines,1022,N,N,,C/V\.'C/V\.C/e\,NOUN,cousine,3
30,estoit,estoit,1022,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
31,",",",",1022,Pnc,Pnc,,,PUNCT,",",9
32,mais,mais,1022,Crd,Crd,mais,C/V\,CCONJ,mais,10
33,de,de,1022,Pre,Pre,de,C/(e)\,ADP,de,10
34,son,son,1022,Det,Det,son4,C/V\,DET,son,10
35,nom,nom,1022,N,N,,C/V\,NOUN,nom,8
36,et,et,1022,Crd,Crd,et,/V\,CCONJ,et,10
37,seignorie,seignorie,1022,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,seigneurie,8
38,l',l',1022,Det,Det,le,C/\,DET,le,10
39,ystoire,ystoire,1022,N,N,,/V\.'C/V\.C/(e)\,NOUN,histoire,9
40,s',s',1022,Prn,Prn$$,se,C/\,PRON,se,10
41,en,en,1022,Prn,Prn$$,en2,/V\,PRON,en,10
42,taist,taist,1022,Vfin,Vfin,taire,C/V\,VERB,taire,10
43,",",",",1022,Pnc,Pnc,,,PUNCT,",",9
44,a,a,1022,Pre,Pre,à,/V\,ADP,à,10
45,cause,cause,1022,N,N,,'C/V\.C/(e)\,NOUN,cause,3
46,de,de,1022,Pre,Pre,de,C/(e)\,ADP,de,10
47,ce,ce,1022,Prn,Prn,ce,C/(e)\,PRON,ce,10
48,que,que,1022,Qux,Qux,que,C/(e)\,PRON,que,10
49,aprés,aprés,1022,PrA,PrA,après,/V\.'C/V\,ADV,après,10
50,pourrez,pourrez,1022,Vfin,Vfin,pouvoir2,C/V\.'C/V\,VERB,pouvoir,10
51,veoir,veoir,1022,Vinf,Vinf,voir,C/(V)\.'/V\,VERB,voir,10
52,.,.,1022,Pnc,Pnc,,,PUNCT,.,9
53,Laquelle,laquelle,1022,Qux,Qux,lequel,C/V\.'C/V\.C/(e)\,DET,lequel,10
54,dame,dame,1022,N,N,,'C/V\.C/(e)\,NOUN,dame,8
55,",",",",1022,Pnc,Pnc,,,PUNCT,",",9
56,onques,onques,1022,Adv,Adv,onques,'/V\.C/e\,ADV,onques,10
57,puis,puis,1022,PrA,PrA,puis,C/V\,ADV,puis,10
58,le,le,1022,Det,Det,le,C/(e)\,DET,le,10
59,trespas,trespas,1022,N,N,,C/V\.'C/V\,NOUN,trépas,9
60,de,de,1022,Pre,Pre,de,C/(e)\,ADP,de,10
61,feu,feu,1022,Adj,Adj,,C/V\,ADJ,feu,8
62,monseigneur,monseigneur,1022,N,N,,C/V\.C/V\.'C/V\,NOUN,monseigneur,8
63,son,son,1022,Det,Det,son4,C/V\,DET,son,10
64,mary,mary,1022,N,N,,C/V\.'C/V\,NOUN,mari,9
