wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,Cil,cil,103,Dem,Dem,cil,C/V\,PRON,cil,10
2,1,2,sont,sont,103,Vfin,Vfin,être,C/V\,VERB,être,10
3,1,3,ja,ja,103,Adv,Adv,jà,C/V\,ADV,jà,10
4,1,4,loing,loing,103,Adv,Adv,loin,C/V\,ADV,loin,10
5,1,5,de,de,103,Pre,Pre,de,C/(e)\,ADP,de,10
6,1,6,la,la,103,Det,Det,le,C/V\,DET,le,10
7,1,7,cité,cité,103,N,N,,C/V\.'C/V\,NOUN,cité,8
8,1,8,",",",",103,Pnc,Pnc,,,PUNCT,",",9
9,2,1,en,en,104,Pre,Pre,en,/V\,ADP,en,10
10,2,2,mi,mi,104,N,N,,C/V\,NOUN,mi,8
11,2,3,un,un,104,QIs,QIs,un,/V\,DET,un,10
12,2,4,gaut,gaut,104,N,N,,C/V\,NOUN,gaut,9
13,2,5,en,en,104,Prn,Prn$$,en2,/V\,PRON,en,10
14,2,6,sont,sont,104,Vfin,Vfin,être,C/V\,VERB,être,10
15,2,7,entré,entré,104,Vpp,Vpp,entrer,/V\.'C/V\,VERB,entrer,10
16,2,8,;,;,104,Pnc,Pnc,,,PUNCT,;,9
17,3,1,descouvert,descouvert,105,Vpp,Vpp,découvrir,C/V\.C/V\.'C/V\,VERB,découvrir,10
18,3,2,ont,ont,105,Vfin,Vfin,avoir,/V\,VERB,avoir,10
19,3,3,le,le,105,Det,Det,le,C/(e)\,DET,le,10
20,3,4,filz,filz,105,N,N,,C/V\,NOUN,fils,3
21,3,5,le,le,105,Det,Det,le,C/(e)\,DET,le,10
22,3,6,roi,roi,105,N,N,,C/V\,NOUN,roi,8
23,4,1,d',d',106,Pre,Pre,de,C/\,ADP,de,10
24,4,2,un,un,106,QIs,QIs,un,/V\,DET,un,10
25,4,3,sydoine,sydoine,106,N,N,,C/V\.'C/V\.C/(e)\,NOUN,sidoine,9
26,4,4,qu',qu',106,Qux,Qux,que,C/\,PRON,que,10
27,4,5,il,il,106,Prn,Prn$,il,/V\,PRON,il,10
28,4,6,ot,ot,106,Vfin,Vfin,avoir,/V\,VERB,avoir,10
29,4,7,o,o,106,Pre,Pre,o,/V\,ADP,o,10
30,4,8,soi,soi,106,Prn,Prn,soi,C/V\,PRON,soi,10
31,4,9,.,.,106,Pnc,Pnc,,,PUNCT,.,9
32,5,1,Cil,cil,107,Dem,Dem,cil,C/V\,PRON,cil,10
33,5,2,fu,fu,107,Vfin,Vfin,être,C/V\,VERB,être,10
34,5,3,petit,petit,107,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10
35,5,4,",",",",107,Pnc,Pnc,,,PUNCT,",",9
36,5,5,ne,ne,107,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
37,5,6,sot,sot,107,Vfin,Vfin,savoir,C/V\,VERB,savoir,10
38,5,7,la,la,107,Det,Det,le,C/V\,DET,le,10
39,5,8,sort,sort,107,N,N,,C/V\,NOUN,sort,3
40,6,1,ne,ne,108,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
41,6,2,ne,ne,108,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
42,6,3,s',s',108,Prn,Prn$$,se,C/\,PRON,se,10
43,6,4,aperçut,aperçut,108,Vfin,Vfin,apercevoir,/V\.C/V\.'C/V\,VERB,apercevoir,10
44,6,5,de,de,108,Pre,Pre,de,C/(e)\,ADP,de,10
45,6,6,sa,sa,108,Det,Det,son4,C/V\,DET,son,10
46,6,7,mort,mort,108,N,N,,C/V\,NOUN,mort,3
47,6,8,;,;,108,Pnc,Pnc,,,PUNCT,;,9
48,7,1,tendi,tendi,109,Vfin,Vfin,tendre,C/V\.'C/V\,VERB,tendre,10
49,7,2,ses,ses,109,Det,Det,son4,C/V\,DET,son,10
50,7,3,mains,mains,109,N,N,,C/V\,NOUN,main,8
51,7,4,et,et,109,Crd,Crd,et,/V\,CCONJ,et,10
52,7,5,si,si,109,Adv,Adv,si4,C/V\,ADV,si,10
53,7,6,lor,lor,109,Prn,Prn$$,leur,C/V\,PRON,leur,10
54,7,7,rist,rist,109,Vfin,Vfin,rire,C/V\,VERB,rire,10
55,8,1,conme,conme,110,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
56,8,2,a,a,110,Pre,Pre,à,/V\,ADP,à,10
57,8,3,sa,sa,110,Det,Det,son4,C/V\,DET,son,10
58,8,4,norrice,norrice,110,N,N,,C/V\.'C/V\.C/(e)\,NOUN,nourrice,9
59,8,5,feïst,feist,110,Vfin,Vfin,faire,C/(V)\.'/V\,VERB,faire,10
60,8,6,",",",",110,Pnc,Pnc,,,PUNCT,",",9
61,9,1,et,et,111,Crd,Crd,et,/V\,CCONJ,et,10
62,9,2,pour,pour,111,Pre,Pre,pour,C/V\,ADP,pour,10
63,9,3,le,le,111,Det,Det,le,C/(e)\,DET,le,10
64,9,4,ris,ris,111,N,N,,C/V\,NOUN,ris,3
65,9,5,qu',qu',111,Qux,Qux,que,C/\,PRON,que,10
66,9,6,il,il,111,Prn,Prn$,il,/V\,PRON,il,10
67,9,7,a,a,111,Vfin,Vfin,avoir,/V\,VERB,avoir,10
68,9,8,gité,gité,111,Vpp,Vpp,jeter,C/V\.'C/V\,VERB,jeter,10
69,10,1,conmeü,conmeu,112,Vpp,Vpp,commouvoir,C/V\.C/(V)\.'/V\,VERB,commouvoir,10
70,10,2,sunt,sunt,112,Vfin,Vfin,être,C/V\,VERB,être,10
71,10,3,de,de,112,Pre,Pre,de,C/(e)\,ADP,de,10
72,10,4,grant,grant,112,Adj,Adj,grand,C/V\,ADJ,grand,10
73,10,5,pité,pité,112,N,N,,C/V\.'C/V\,NOUN,pitié,8
74,11,1,et,et,113,Crd,Crd,et,/V\,CCONJ,et,10
75,11,2,dient,dient,113,Vfin,Vfin,dire,'C/V\./e\,VERB,dire,10
76,11,3,tuit,tuit,113,QIs,QIs,tout,C/V\,PRON,tout,10
77,11,4,:,:,113,Pnc,Pnc,,,PUNCT,:,9
78,11,5,"""","""",113,Pnc,Pnc,,,PUNCT,"""",9
79,11,6,Pechié,pechié,113,N,N,,C/V\.'C/V\,PROPN|NOUN,pécher|péché,-1
80,11,7,feron,feron,113,Vfin,Vfin,faire,C/V\.'C/V\,VERB,faire,10
81,11,8,",",",",113,Pnc,Pnc,,,PUNCT,",",9
82,12,1,quant,quant,114,Sub,Sub,quand,C/V\,SCONJ,quand,10
83,12,2,il,il,114,Prn,Prn$,il,/V\,PRON,il,10
84,12,3,nos,nos,114,Prn,Prn$$,nous,C/V\,PRON,nous,10
85,12,4,rit,rit,114,Vfin,Vfin,rire,C/V\,VERB,rire,10
86,12,5,",",",",114,Pnc,Pnc,,,PUNCT,",",9
87,12,6,se,se,114,Sub,Sub,si3,C/(e)\,SCONJ,si,10
88,12,7,l',l',114,Prn,Prn$$,le,C/\,PRON,le,10
89,12,8,ocïon,ocion,114,Vfin,Vfin,occire,/V\.C/V\.'C/V\,VERB,occire,10
90,12,9,.,.,114,Pnc,Pnc,,,PUNCT,.,9
91,12,10,"""","""",114,Pnc,Pnc,,,PUNCT,"""",9
92,13,1,Andeus,andeus,115,QIs,QIs,ambedeux,/V\.'C/V\,NUM,ambedeux,10
93,13,2,les,les,115,Det,Det,le,C/V\,DET,le,10
94,13,3,piez,piez,115,N,N,,C/V\,NOUN,pied,3
95,13,4,li,li,115,Prn,Prn$$,li,C/V\,PRON,li,10
96,13,5,ont,ont,115,Vfin,Vfin,avoir,/V\,VERB,avoir,10
97,13,6,fendu,fendu,115,Vpp,Vpp,fendre,C/V\.'C/V\,VERB,fendre,10
98,13,7,",",",",115,Pnc,Pnc,,,PUNCT,",",9
99,14,1,puis,puis,116,PrA,PrA,puis,C/V\,ADV,puis,10
100,14,2,l',l',116,Prn,Prn$$,le,C/\,PRON,le,10
101,14,3,ont,ont,116,Vfin,Vfin,avoir,/V\,VERB,avoir,10
102,14,4,a,a,116,Pre,Pre,à,/V\,ADP,à,10
103,14,5,un,un,116,QIs,QIs,un,/V\,DET,un,10
104,14,6,chesne,chesne,116,N,N,,'C/V\.C/(e)\,NOUN,chêne,3
105,14,7,pendu,pendu,116,Vpp,Vpp,pendre,C/V\.'C/V\,VERB,pendre,10
106,14,8,.,.,116,Pnc,Pnc,,,PUNCT,.,9
107,15,1,Pour,pour,117,Pre,Pre,pour,C/V\,ADP,pour,10
108,15,2,ice,ice,117,Prn,Prn,ce,'/V\.C/(e)\,PRON,ce,10
109,15,3,l',l',117,Prn,Prn$$,le,C/\,PRON,le,10
110,15,4,ont,ont,117,Vfin,Vfin,avoir,/V\,VERB,avoir,10
111,15,5,pendu,pendu,117,Vpp,Vpp,pendre,C/V\.'C/V\,VERB,pendre,10
112,15,6,la,la,117,Adv,Adv,là,C/V\,ADV,là,10
113,15,7,sus,sus,117,PrA,PrA,sus,C/V\,ADV,sus,10
114,16,1,que,que,118,Sub,Sub,que,C/(e)\,SCONJ,que,10
115,16,2,bestes,bestes,118,N,N,,'C/V\.C/e\,NOUN,bête,8
116,16,3,nel,nel,118,Neg+Prn,Neg$$+Prn$$,ne.le,C/V\,ADV.PRON,ne.le,10
117,16,4,menjassent,menjassent,118,Vfin,Vfin,manger,C/V\.'C/V\.C/e\,VERB,manger,10
118,16,5,jus,jus,118,Adv,Adv,jus,C/V\,ADV,jus,10
119,16,6,.,.,118,Pnc,Pnc,,,PUNCT,.,9
120,17,1,Or,or,119,Adv,Adv,or2,/V\,ADV,or,10
121,17,2,s',s',119,Prn,Prn$$,se,C/\,PRON,se,10
122,17,3,en,en,119,Prn,Prn$$,en2,/V\,PRON,en,10
123,17,4,tornent,tornent,119,Vfin,Vfin,tourner,'C/V\.C/e\,VERB,tourner,10
124,17,5,li,li,119,Det,Det,le,C/V\,DET,le,10
125,17,6,serf,serf,119,N,N,,C/V\,NOUN,serf,3
126,17,7,tuit,tuit,119,QIs,QIs,tout,C/V\,DET,tout,10
127,17,8,troi,troi,119,QIs,QIs,trois,C/V\,NUM,trois,10
128,17,9,",",",",119,Pnc,Pnc,,,PUNCT,",",9
129,18,1,pendant,pendant,120,Vprs,Vprs,pendre,C/V\.'C/V\,VERB,pendre,10
130,18,2,lessent,lessent,120,Vfin,Vfin,laisser,'C/V\.C/e\,VERB,laisser,10
131,18,3,le,le,120,Det,Det,le,C/(e)\,DET,le,10
132,18,4,filz,filz,120,N,N,,C/V\,NOUN,fils,3
133,18,5,le,le,120,Det,Det,le,C/(e)\,DET,le,10
134,18,6,roi,roi,120,N,N,,C/V\,NOUN,roi,8
135,18,7,.,.,120,Pnc,Pnc,,,PUNCT,.,9
136,19,1,Dient,dient,121,Vfin,Vfin,dire,'C/V\./e\,VERB,dire,10
137,19,2,au,au,121,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
138,19,3,roi,roi,121,N,N,,C/V\,NOUN,roi,8
139,19,4,:,:,121,Pnc,Pnc,,,PUNCT,:,9
140,19,5,"""","""",121,Pnc,Pnc,,,PUNCT,"""",9
141,19,6,Seür,seür,121,Adj,Adj,sûr,C/(V)\.'/V\,ADJ,sûr,10
142,19,7,soiez,soiez,121,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10
143,19,8,",",",",121,Pnc,Pnc,,,PUNCT,",",9
144,20,1,desormés,desormés,122,Adv,Adv,désormais,C/V\.C/V\.'C/V\,ADV,désormais,10
145,20,2,vous,vous,122,Prn,Prn$$,vous,C/V\,PRON,vous,10
146,20,3,esjoïssiez,esjoissiez,122,Vfin,Vfin,éjouir,/V\.C/V\.C/V\.'C/V\,VERB,éjouir,10
147,20,4,.,.,122,Pnc,Pnc,,,PUNCT,.,9
148,21,1,Se,se,123,Sub,Sub,si3,C/(e)\,SCONJ,si,10
149,21,2,vous,vous,123,Prn,Prn$$,vous,C/V\,PRON,vous,10
150,21,3,pouez,pouez,123,Vfin,Vfin,pouvoir2,C/V\.'C/V\,VERB,pouvoir,10
151,21,4,des,des,123,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
152,21,5,vis,vis,123,N,N,,C/V\,NOUN,vis,3
153,21,6,garder,garder,123,Vinf,Vinf,garder,C/V\.'C/V\,VERB,garder,10
154,21,7,",",",",123,Pnc,Pnc,,,PUNCT,",",9
155,22,1,des,des,124,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
156,22,2,mors,mors,124,Vpp,Vpp,mourir,C/V\,VERB,mourir,10
157,22,3,ne,ne,124,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
158,22,4,vos,vos,124,Prn,Prn$$,vous,C/V\,PRON,vous,10
159,22,5,estuet,estuet,124,Vfin,Vfin,estovoir,/V\.'C/V\,VERB,estovoir,10
160,22,6,douter,douter,124,Vinf,Vinf,,C/V\.'C/V\,VERB,douter,9
161,22,7,.,.,124,Pnc,Pnc,,,PUNCT,.,9
162,22,8,"""","""",124,Pnc,Pnc,,,PUNCT,"""",9
163,23,1,Bien,bien,125,Adv,Adv,bien,C/V\,ADV,bien,10
164,23,2,ont,ont,125,Vfin,Vfin,avoir,/V\,VERB,avoir,10
165,23,3,leur,leur,125,Det,Det,leur2,C/V\,DET,leur,10
166,23,4,roi,roi,125,N,N,,C/V\,NOUN,roi,8
167,23,5,asseüré,asseuré,125,Vpp,Vpp,assurer,/V\.C/(V)\./V\.'C/V\,VERB,assurer,10
168,23,6,",",",",125,Pnc,Pnc,,,PUNCT,",",9
169,24,1,mes,més,126,Crd,Crd,mais,C/V\,CCONJ,mais,10
170,24,2,traï,traï,126,Vpp,Vpp,trahir,C/V\.'C/V\,VERB,trahir,10
171,24,3,l',l',126,Prn,Prn$$,le,C/\,PRON,le,10
172,24,4,ont,ont,126,Vfin,Vfin,avoir,/V\,VERB,avoir,10
173,24,5,et,et,126,Crd,Crd,et,/V\,CCONJ,et,10
174,24,6,mal,mal,126,Adv,Adv,mal3,C/V\,ADV,mal,10
175,24,7,mené,mené,126,Vpp,Vpp,mener,C/V\.'C/V\,VERB,mener,10
176,24,8,",",",",126,Pnc,Pnc,,,PUNCT,",",9
177,25,1,car,car,127,Crd,Crd,car,C/V\,CCONJ,car,10
178,25,2,li,li,127,Det,Det,le,C/V\,DET,le,10
179,25,3,enfes,enfes,127,N,N,,'/V\.C/e\,NOUN,enfant,9
180,25,4,qui,qui,127,Qux,Qux,qui,C/V\,PRON,qui,10
181,25,5,en,en,127,Pre,Pre,en,/V\,ADP,en,10
182,25,6,haut,haut,127,Adj,Adj,haut,C/V\,ADJ,haut,10
183,25,7,pent,pent,127,Vfin,Vfin,pendre,C/V\,VERB,pendre,10
184,26,1,avra,avra,128,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10
185,26,2,secours,secours,128,N,N,,C/V\.'C/V\,NOUN,secours,8
186,26,3,prochainement,prochainement,128,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\,ADV,prochainement,9
187,26,4,.,.,128,Pnc,Pnc,,,PUNCT,.,9
188,27,1,Par,par,129,Pre,Pre,par,C/V\,ADP,par,10
189,27,2,icel,icel,129,Dem,Dem,cil,/V\.'C/V\,DET,cil,10
190,27,3,bois,bois,129,N,N,,C/V\,NOUN,bois,8
191,27,4,vet,vet,129,Vfin,Vfin,aller,C/V\,VERB,aller,10
192,27,5,chevauchant,chevauchant,129,Vprs,Vprs,chevaucher,C/V\.C/V\.'C/V\,VERB,chevaucher,10
193,27,6,",",",",129,Pnc,Pnc,,,PUNCT,",",9
194,28,1,si,si,130,Adv,Adv,si4,C/V\,ADV,si,10
195,28,2,com,com,130,Sub,Sub,comme,C/V\,SCONJ,comme,10
196,28,3,Fortune,fortune,130,N,N,,C/V\.'C/V\.C/(e)\,NOUN,fortune,8
197,28,4,vet,vet,130,Vfin,Vfin,aller,C/V\,VERB,aller,10
198,28,5,menant,menant,130,Vprs,Vprs,mener,C/V\.'C/V\,VERB,mener,10
199,28,6,",",",",130,Pnc,Pnc,,,PUNCT,",",9
200,29,1,li,li,131,Det,Det,le,C/V\,DET,le,10
201,29,2,rois,rois,131,N,N,,C/V\,NOUN,roi,3
202,29,3,de,de,131,Pre,Pre,de,C/(e)\,ADP,de,10
203,29,4,Phoces,phoces,131,N,N,,'C/V\.C/e\,PROPN,Phoces,-10
204,29,5,la,la,131,Det,Det,le,C/V\,DET,le,10
205,29,6,cité,cité,131,N,N,,C/V\.'C/V\,NOUN,cité,8
206,30,1,qui,qui,132,Qux,Qux,qui,C/V\,PRON,qui,10
207,30,2,a,a,132,Vfin,Vfin,avoir,/V\,VERB,avoir,10
