wd_id,word,lex_id,pos_nca,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,en,en,PREDET:en:obj:masc:sg,19,Pre,Pre,en,/V\,ADP,en,10
2,nom,nom,NOM:obj:masc:sg,19,N,N,,C/V\,NOUN,nom,8
3,de,de,PRE,19,Pre,Pre,de,C/(e)\,ADP,de,10
4,dieu,dieu,NOM:obj:masc:sg,19,N,N,,C/V\,NOUN,dieu,3
5,le,le,DET:def:obj:masc:sg,19,Det,Det,le,C/(e)\,DET,le,10
6,toutpuissant,toutpuissant,ADJ:obj:masc:sg,19,Adj,Adj,,C/V\.C/V\.'C/V\,ADJ,tout-puissant,8
7,",",",",PON,19,Pnc,Pnc,,,PUNCT,",",9
8,je,je,PRO:pers:suj:1:sg:unb,19,Prn,Prn,je,C/(e)\,PRON,je,10
9,jehan,jehan,NPR:suj:masc:sg,19,N,N,,C/(V)\.'/V\,PROPN,Jean,8
10,sire,sire,NOM:suj:masc:sg,19,N,N,,'C/V\.C/(e)\,NOUN,sire,11
11,de,de,PRE,19,Pre,Pre,de,C/(e)\,ADP,de,10
12,joyngville,joyngville,NPR:obj:masc:sg,19,N,N,,C/V\.'C/V\.C/(e)\,NOUN,joingile,-10
13,",",",",PON,19,Pnc,Pnc,,,PUNCT,",",9
14,seneschal,seneschal,NOM:suj:masc:sg,19,N,N,,C/V\.C/e\.'C/V\,NOUN,sénéchal,8
15,de,de,PRE,19,Pre,Pre,de,C/(e)\,ADP,de,10
16,champaigne,champaigne,NPR:obj:femi:sg,19,N,N,,C/V\.'C/V\.C/(e)\,NOUN,campagne,3
17,",",",",PON,19,Pnc,Pnc,,,PUNCT,",",9
18,faiz,faiz,VER:pres:1:sg,19,Vfin,Vfin,faire,C/V\,VERB,faire,10
19,escrire,escrire,VER:infi,19,Vinf,Vinf,écrire,/V\.'C/V\.C/(e)\,VERB,écrire,10
20,la,la,DET:def:obj:femi:sg,19,Det,Det,le,C/V\,DET,le,10
21,vie,vie,NOM:obj:femi:sg,19,N,N,,'C/V\./(e)\,NOUN,vie,3
22,nostre,nostre,DET:poss:obj:masc:sg,19,Det,Det,notre,'C/V\.C/(e)\,DET,notre,10
23,saint,saint,ADJ:obj:masc:sg,19,Adj,Adj,saint,C/V\,ADJ,saint,10
24,looys,looys,NPR:obj:masc:sg,19,N,N,,C/V\.C/(V)\.'/V\,NOUN,Louis,2
25,",",",",PON,19,Pnc,Pnc,,,PUNCT,",",9
26,ce,ce,PRO:invar,19,Prn,Prn,ce,C/(e)\,PRON,ce,10
27,que,que,PROCON,19,Qux,Qux,que,C/(e)\,PRON,que,10
28,je,je,PRO:pers:suj:1:sg:unb,19,Prn,Prn$,je,C/(e)\,PRON,je,10
29,vis,vis,VER:simp:1:sg,19,Vfin,Vfin,voir,C/V\,VERB,voir,10
30,et,et,CON:coord,19,Crd,Crd,et,/V\,CCONJ,et,10
31,oy,oÿ,VER:simp:1:sg,19,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10
32,par,par,PRE,19,Pre,Pre,par,C/V\,ADP,par,10
33,l,l',DET:def:obj:masc:sg,19,Det,Det,le,C/\,DET,le,10
34,espace,espace,NOM:obj:masc:sg,19,N,N,,/V\.'C/V\.C/(e)\,NOUN,espace,8
35,de,de,PRE,19,Pre,Pre,de,C/(e)\,ADP,de,10
36,sis,sis,ADJ:card,19,QIs,QIs,six,C/V\,NUM,six,10
37,anz,anz,NOM:obj:masc:pl,19,N,N,,/V\,NOUN,an,8
38,que,que,PROCON,19,Qux,Qux,que,C/(e)\,ADJ|ADV|DET|PRON,que,10
39,je,je,PRO:pers:suj:1:sg:unb,19,Prn,Prn$,je,C/(e)\,PRON,je,10
40,fu,fu,VER:simp:3:sg,19,Vfin,Vfin,être,C/V\,VERB,être,10
41,en,en,PRO:clit,19,Pre,Pre,en,/V\,ADP,en,10
