wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,a,a,1,Pre,Pre,à,/V\,ADP,à,10
2,1,2,la,la,1,Det,Det,le,C/V\,DET,le,10
3,1,3,loenge,loenge,1,N,N,,C/{V}\.'/V\.C/(e)\,NOUN,louange,8
4,1,4,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
5,1,5,a,a,1,Pre,Pre,à,/V\,ADP,à,10
6,1,6,l',l',1,Det,Det,le,C/\,DET,le,10
7,1,7,onnour,onnour,1,N,N,,/V\.'C/V\,NOUN,honneur,9
8,2,1,de,de,2,Pre,Pre,de,C/(e)\,ADP,de,10
9,2,2,tresfine,tresfine,2,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,tréfin,-10
10,2,3,amour,amour,2,N,N,,/V\.'C/V\,NOUN,amour,8
11,2,4,que,que,2,Qux,Qux,que,C/(e)\,PRON,que,10
12,2,5,je,je,2,Prn,Prn$,je,C/(e)\,PRON,je,10
13,2,6,honnour,honnour,2,Vfin,Vfin,honorer,/V\.'C/V\,VERB,honorer,10
14,2,7,",",",",2,Pnc,Pnc,,,PUNCT,",",9
15,3,1,aim,aim,3,Vfin,Vfin,aimer,/V\,VERB,aimer,10
16,3,2,",",",",3,Pnc,Pnc,,,PUNCT,",",9
17,3,3,obey,obey,3,Vfin,Vfin,,/V\.C/(V)\.'/V\,VERB,obéir,8
18,3,4,et,et,3,Crd,Crd,et,/V\,CCONJ,et,10
19,3,5,sers,sers,3,Vfin,Vfin,servir,C/V\,VERB,servir,10
20,3,6,et,et,3,Crd,Crd,et,/V\,CCONJ,et,10
21,3,7,doubte,doubte,3,Vfin,Vfin,,'C/V\.C/(e)\,VERB,douter,8
22,3,8,",",",",3,Pnc,Pnc,,,PUNCT,",",9
23,4,1,qu',qu',4,Crd,Crd,que,C/\,CCONJ,que,10
24,4,2,en,en,4,Pre,Pre,en,/V\,ADP,en,10
25,4,3,lui,lui,4,Prn,Prn,lui,C/V\,PRON,lui,10
26,4,4,ay,ay,4,Vfin,Vfin,avoir,/V\,VERB,avoir,10
27,4,5,mis,mis,4,Vpp,Vpp,mettre,C/V\,VERB,mettre,10
28,4,6,m',m',4,Det,Det,mon,C/\,DET,mon,10
29,4,7,entente,entente,4,N,N,,/V\.'C/V\.C/(e)\,NOUN,entente,8
30,4,8,toute,toute,4,QIs,QIs,tout,'C/V\.C/(e)\,ADJ,tout,10
31,4,9,;,;,4,Pnc,Pnc,,,PUNCT,;,9
32,5,1,et,et,5,Crd,Crd,et,/V\,CCONJ,et,10
33,5,2,pour,pour,5,Pre,Pre,pour,C/V\,ADP,pour,10
34,5,3,ma,ma,5,Det,Det,mon,C/V\,DET,mon,10
35,5,4,gracieuse,gracieuse,5,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\,ADJ,gracieux,9
36,5,5,dame,dame,5,N,N,,'C/V\.C/(e)\,NOUN,dame,8
37,6,1,a,a,6,Pre,Pre,à,/V\,ADP,à,10
38,6,2,cui,cui,6,Qux,Qux,cui,C/V\,PRON,qui,11
39,6,3,j',j',6,Prn,Prn$,je,C/\,PRON,je,10
40,6,4,ay,ay,6,Vfin,Vfin,avoir,/V\,VERB,avoir,10
41,6,5,donné,donné,6,Vpp,Vpp,donner,C/V\.'C/V\,VERB,donner,10
42,6,6,corps,corps,6,N,N,,C/V\,NOUN,corps,3
43,6,7,et,et,6,Crd,Crd,et,/V\,CCONJ,et,10
44,6,8,ame,ame,6,N,N,,'/V\.C/(e)\,NOUN,âme,3
45,7,1,et,et,7,Crd,Crd,et,/V\,CCONJ,et,10
46,7,2,que,que,7,Qux,Qux,que,C/(e)\,ADJ|ADV|DET|PRON,que,10
47,7,3,j',j',7,Prn,Prn$,je,C/\,PRON,je,10
48,7,4,aim,aim,7,Vfin,Vfin,aimer,/V\,VERB,aimer,10
49,7,5,de,de,7,Pre,Pre,de,C/(e)\,ADP,de,10
50,7,6,vray,vray,7,Adj,Adj,vrai,C/V\,ADJ,vrai,10
51,7,7,cuer,cuer,7,N,N,,C/V\,NOUN,coeur,3
52,7,8,d',d',7,Pre,Pre,de,C/\,ADP,de,10
53,7,9,ami,ami,7,N,N,,/V\.'C/V\,NOUN,ami,8
54,7,10,",",",",7,Pnc,Pnc,,,PUNCT,",",9
55,8,1,sanz,sanz,8,Pre,Pre,sans,C/V\,ADP,sans,10
56,8,2,comparaison,comparaison,8,N,N,,C/V\.C/V\.C/V\.'C/V\,NOUN,comparaison,9
57,8,3,plus,plus,8,Adv,Adv,plus,C/V\,ADV,plus,10
58,8,4,que,que,8,Sub,Sub,que,C/(e)\,SCONJ,que,10
59,8,5,mi,mi,8,Prn,Prn,moi,C/V\,PRON,moi,10
60,8,6,;,;,8,Pnc,Pnc,,,PUNCT,;,9
61,9,1,et,et,9,Crd,Crd,et,/V\,CCONJ,et,10
62,9,2,d',d',9,Pre,Pre,de,C/\,ADP,de,10
63,9,3,esperance,esperance,9,N,N,,/V\.C/V\.'C/V\.C/(e)\,NOUN,espérance,8
64,9,4,la,la,9,Det,Det,le,C/V\,DET,le,10
