wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref,pos,lemma_ofl,lemma_score
1,1,1,bons,bons,1,Adj,Adj,bon,C/V\,"Alexis, v. 1",ADJ,bon,10
2,1,2,fut,fut,1,Vfin,Vfin,être,C/V\,"Alexis, v. 1",VERB,être,10
3,1,3,li,li,1,Det,Det,le,C/V\,"Alexis, v. 1",DET,le,10
4,1,4,secles,secles,1,N,N,,'C/V\.C/e\,"Alexis, v. 1",NOUN,siècle,8
5,1,5,al,al,1,Pre+Det,Pre+Det,à.le,/V\,"Alexis, v. 1",ADP.DET,à.le,10
6,1,6,tens,tens,1,N,N,,C/V\,"Alexis, v. 1",NOUN,temps,8
7,1,7,ancienur,ancienur,1,Adj,Adj,,/V\.C/V\.C/e\.'C/V\,"Alexis, v. 1",ADJ,anciennour,8
8,1,8,",",",",1,Pnc,Pnc,,,"Alexis, v. 1",PUNCT,",",9
9,2,1,quer,quer,2,Crd,Crd,car,C/V\,"Alexis, v. 2",CCONJ,car,10
10,2,2,feit,feit,2,N,N,,C/V\,"Alexis, v. 2",PROPN|NOUN,faire,0
11,2,3,i,i,2,Prn,Prn$$,y,/V\,"Alexis, v. 2",PRON,y,10
12,2,4,ert,ert,2,Vfin,Vfin,être,/V\,"Alexis, v. 2",VERB,être,10
13,2,5,e,e,2,Crd,Crd,et,/V\,"Alexis, v. 2",CCONJ,et,10
14,2,6,justise,justise,2,N,N,,C/V\.'C/V\.C/(e)\,"Alexis, v. 2",NOUN,justice,8
15,2,7,ed,ed,2,Crd,Crd,et,/V\,"Alexis, v. 2",CCONJ,et,10
16,2,8,amur,amur,2,N,N,,/V\.'C/V\,"Alexis, v. 2",NOUN,amour,8
17,2,9,;,;,2,Pnc,Pnc,,,"Alexis, v. 2",PUNCT,;,3
18,3,1,s',s',3,Adv,Adv,si,C/\,"Alexis, v. 3",ADV,si,10
19,3,2,i,i,3,Prn,Prn$$,y,/V\,"Alexis, v. 3",PRON,y,10
20,3,3,ert,ert,3,Vfin,Vfin,être,/V\,"Alexis, v. 3",VERB,être,10
21,3,4,creance,creance,3,N,N,,C/V\.'C/V\.C/(e)\,"Alexis, v. 3",NOUN,créance,8
22,3,5,",",",",3,Pnc,Pnc,,,"Alexis, v. 3",PUNCT,",",9
23,3,6,dunt,dunt,3,Qux,Qux,dont,C/V\,"Alexis, v. 3",PRON,dont,10
24,3,7,or,or,3,Adv,Adv,or,/V\,"Alexis, v. 3",ADV,or,10
25,3,8,n',n',3,Neg,Neg$$,ne,C/\,"Alexis, v. 3",ADV,ne,10
26,3,9,i,i,3,Prn,Prn$$,y,/V\,"Alexis, v. 3",PRON,y,10
27,3,10,at,at,3,Vfin,Vfin,avoir,/V\,"Alexis, v. 3",VERB,avoir,10
28,3,11,nul,nul,3,QIs,QIs,nul,C/V\,"Alexis, v. 3",DET,nul,10
29,3,12,prut,prut,3,N,N,preu,C/V\,"Alexis, v. 3",NOUN,preu,10
30,3,13,.,.,3,Pnc,Pnc,,,"Alexis, v. 3",PUNCT,.,9
31,4,1,tut,tut,4,QIs,QIs,tout,C/V\,"Alexis, v. 4",PRON,tout,10
32,4,2,est,est,4,Vfin,Vfin,être,/V\,"Alexis, v. 4",VERB,être,10
33,4,3,muez,müez,4,Vpp,Vpp,muer,C/V\.'C/V\,"Alexis, v. 4",VERB,muer,10
34,4,4,",",",",4,Pnc,Pnc,,,"Alexis, v. 4",PUNCT,",",9
35,4,5,perdut,perdut,4,Vpp,Vpp,perdre,C/V\.'C/V\,"Alexis, v. 4",VERB,perdre,10
36,4,6,ad,ad,4,Vfin,Vfin,avoir,/V\,"Alexis, v. 4",VERB,avoir,10
37,4,7,sa,sa,4,Det,Det,son,C/V\,"Alexis, v. 4",DET,son,10
38,4,8,colur,colur,4,N,N,,C/V\.'C/V\,"Alexis, v. 4",NOUN,couleur,8
39,4,9,:,:,4,Pnc,Pnc,,,"Alexis, v. 4",PUNCT,:,9
40,5,1,ja,ja,5,Adv,Adv,jà,C/V\,"Alexis, v. 5",ADV,jà,10
41,5,2,mais,mais,5,Adv,Adv,mais,C/V\,"Alexis, v. 5",ADV,mais,10
42,5,3,n',n',5,Neg,Neg$$,ne,C/\,"Alexis, v. 5",ADV,ne,10
43,5,4,iert,iert,5,Vfin,Vfin,être,/V\,"Alexis, v. 5",VERB,être,10
44,5,5,tel,tel,5,Adj,Adj,tel,C/V\,"Alexis, v. 5",ADJ,tel,10
45,5,6,cum,cum,5,Sub,Sub,comme,C/V\,"Alexis, v. 5",SCONJ,comme,10
46,5,7,fut,fut,5,Vfin,Vfin,être,C/V\,"Alexis, v. 5",VERB,être,10
47,5,8,as,as,5,Pre+Det,Pre+Det,à.le,/V\,"Alexis, v. 5",ADP.DET,à.le,10
48,5,9,anceisurs,anceisurs,5,N,N,,/V\.C/V\.'C/V\,"Alexis, v. 5",NOUN,ancessor,3
49,5,10,.,.,5,Pnc,Pnc,,,"Alexis, v. 5",PUNCT,.,9
50,6,1,al,al,6,Pre+Det,Pre+Det,à.le,/V\,"Alexis, v. 6",ADP.DET,à.le,10
51,6,2,tens,tens,6,N,N,,C/V\,"Alexis, v. 6",NOUN,temps,8
52,6,3,noe,noé,6,N,N,,C/V\.'C/V\,"Alexis, v. 6",PROPN|NOUN,noe,3
53,6,4,ed,ed,6,Crd,Crd,et,/V\,"Alexis, v. 6",CCONJ,et,10
54,6,5,al,al,6,Pre+Det,Pre+Det,à.le,/V\,"Alexis, v. 6",ADP.DET,à.le,10
55,6,6,tens,tens,6,N,N,,C/V\,"Alexis, v. 6",NOUN,temps,8
56,6,7,abraham,abraham,6,N,N,,/V\.C/V\.'C/V\,"Alexis, v. 6",PROPN|NOUN,Abraham,5
57,7,1,ed,ed,7,Crd,Crd,et,/V\,"Alexis, v. 7",CCONJ,et,10
58,7,2,al,al,7,Pre+Det,Pre+Det,à.le,/V\,"Alexis, v. 7",ADP.DET,à.le,10
59,7,3,david,david,7,N,N,,C/V\.'C/V\,"Alexis, v. 7",NOUN,devi,-10
60,7,4,",",",",7,Pnc,Pnc,,,"Alexis, v. 7",PUNCT,",",9
61,7,5,qui,qui,7,Qux,Qux,qui,C/V\,"Alexis, v. 7",PRON,qui,10
62,7,6,deus,deus,7,N,N,,C/V\,"Alexis, v. 7",PROPN,Dieu,3
63,7,7,par,par,7,Adv,Adv,par,C/V\,"Alexis, v. 7",ADV,par,10
64,7,8,amat,amat,7,Vfin,Vfin,aimer,/V\.'C/V\,"Alexis, v. 7",VERB,aimer,10
65,7,9,tant,tant,7,QIs,QIs,tant,C/V\,"Alexis, v. 7",ADV,tant,10
66,7,10,",",",",7,Pnc,Pnc,,,"Alexis, v. 7",PUNCT,",",9
67,8,1,bons,bons,8,Adj,Adj,bon,C/V\,"Alexis, v. 8",ADJ,bon,10
68,8,2,fut,fut,8,Vfin,Vfin,être,C/V\,"Alexis, v. 8",VERB,être,10
69,8,3,li,li,8,Det,Det,le,C/V\,"Alexis, v. 8",DET,le,10
70,8,4,secles,secles,8,N,N,,'C/V\.C/e\,"Alexis, v. 8",NOUN,siècle,8
71,8,5,;,;,8,Pnc,Pnc,,,"Alexis, v. 8",PUNCT,;,3
72,8,6,ja,ja,8,Adv,Adv,jà,C/V\,"Alexis, v. 8",ADV,jà,10
73,8,7,mais,mais,8,Adv,Adv,mais,C/V\,"Alexis, v. 8",ADV,mais,10
74,8,8,n',n',8,Neg,Neg$$,ne,C/\,"Alexis, v. 8",ADV,ne,10
75,8,9,ert,ert,8,Vfin,Vfin,être,/V\,"Alexis, v. 8",VERB,être,10
76,8,10,si,si,8,Adv,Adv,si,C/V\,"Alexis, v. 8",ADV,si,10
77,8,11,vailant,vailant,8,Vprs,Vprs,valoir,C/V\.'C/V\,"Alexis, v. 8",VERB,valoir,10
78,8,12,.,.,8,Pnc,Pnc,,,"Alexis, v. 8",PUNCT,.,9
79,9,1,velz,velz,9,Adj,Adj,vieux,C/V\,"Alexis, v. 9",ADJ,vieux,10
80,9,2,est,est,9,Vfin,Vfin,être,/V\,"Alexis, v. 9",VERB,être,10
81,9,3,e,e,9,Crd,Crd,et,/V\,"Alexis, v. 9",CCONJ,et,10
82,9,4,fraisles,fraisles,9,Adj,Adj,,'C/V\.C/e\,"Alexis, v. 9",ADJ,frêle,9
83,9,5,",",",",9,Pnc,Pnc,,,"Alexis, v. 9",PUNCT,",",9
84,9,6,tut,tut,9,QIs,QIs,tout,C/V\,"Alexis, v. 9",PRON,tout,10
85,9,7,s',s',9,Prn,Prn$$,se,C/\,"Alexis, v. 9",PRON,se,10
86,9,8,en,en,9,Prn,Prn$$,en,/V\,"Alexis, v. 9",PRON,en,10
87,9,9,vat,vat,9,Vfin,Vfin,aller,C/V\,"Alexis, v. 9",VERB,aller,10
88,9,10,declinant,declinant,9,Vprs,Vprs,,C/V\.C/V\.'C/V\,"Alexis, v. 9",VERB,décliner,9
89,9,11,:,:,9,Pnc,Pnc,,,"Alexis, v. 9",PUNCT,:,9
90,10,1,s',s',10,Adv,Adv,si,C/\,"Alexis, v. 10",ADV,si,10
91,10,2,ist,ist,10,Vfin,Vfin,être,/V\,"Alexis, v. 10",VERB,être,10
92,10,3,ampairét,ampairét,10,Vpp,Vpp,,/V\.C/V\.'C/V\,"Alexis, v. 10",VERB,empirer,9
93,10,4,",",",",10,Pnc,Pnc,,,"Alexis, v. 10",PUNCT,",",9
94,10,5,tut,tut,10,QIs,QIs,tout,C/V\,"Alexis, v. 10",DET,tout,10
95,10,6,bien,bien,10,Adv,Adv,bien,C/V\,"Alexis, v. 10",ADV,bien,10
96,10,7,vait,vait,10,Vfin,Vfin,aller,C/V\,"Alexis, v. 10",VERB,aller,10
97,10,8,remanant,remanant,10,N,N,,C/V\.C/V\.'C/V\,"Alexis, v. 10",PROPN|NOUN,remanant,5
98,10,9,.,.,10,Pnc,Pnc,,,"Alexis, v. 10",PUNCT,.,9
99,11,1,puis,puis,11,PrA,PrA,puis,C/V\,"Alexis, v. 11",ADP,puis,10
100,11,2,icel,icel,11,Dem,Dem,cil,/V\.'C/V\,"Alexis, v. 11",DET,cil,10
101,11,3,tens,tens,11,N,N,,C/V\,"Alexis, v. 11",NOUN,temps,8
102,11,4,que,que,11,Qux,Qux,que,C/(e)\,"Alexis, v. 11",PRON,que,10
103,11,5,deus,deus,11,N,N,,C/V\,"Alexis, v. 11",PROPN,Dieu,3
104,11,6,nus,nus,11,Prn,Prn$$,nous,C/V\,"Alexis, v. 11",PRON,nous,10
105,11,7,vint,vint,11,Vfin,Vfin,venir,C/V\,"Alexis, v. 11",VERB,venir,10
106,11,8,salver,salver,11,Vinf,Vinf,sauver,C/V\.'C/V\,"Alexis, v. 11",VERB,sauver,10
107,11,9,",",",",11,Pnc,Pnc,,,"Alexis, v. 11",PUNCT,",",9
108,12,1,nosträ,nosträ,12,Det,Det,notre,'C/V\.C/(e)\,"Alexis, v. 12",DET,notre,10
109,12,2,anceisur,anceisur,12,N,N,,/V\.C/V\.'C/V\,"Alexis, v. 12",NOUN,ancessor,3
110,12,3,ourent,ourent,12,Vfin,Vfin,avoir,'/V\.C/e\,"Alexis, v. 12",VERB,avoir,10
111,12,4,cristientét,cristientét,12,N,N,,C/V\.C/{V}\./V\.'C/V\,"Alexis, v. 12",NOUN,chrétienté,0
112,12,5,",",",",12,Pnc,Pnc,,,"Alexis, v. 12",PUNCT,",",9
113,13,1,si,si,13,Adv,Adv,si,C/V\,"Alexis, v. 13",ADV,si,10
114,13,2,fut,fut,13,Vfin,Vfin,être,C/V\,"Alexis, v. 13",VERB,être,10
115,13,3,un,un,13,QIs,QIs,un,/V\,"Alexis, v. 13",DET,un,10
116,13,4,sire,sire,13,N,N,,'C/V\.C/(e)\,"Alexis, v. 13",NOUN,sire,11
117,13,5,de,de,13,Pre,Pre,de,C/(e)\,"Alexis, v. 13",ADP,de,10
118,13,6,rome,rome,13,N,N,,'C/V\.C/(e)\,"Alexis, v. 13",NOUN,Rome,5
119,13,7,la,la,13,Det,Det,le,C/V\,"Alexis, v. 13",DET,le,10
120,13,8,citét,citét,13,N,N,,C/V\.'C/V\,"Alexis, v. 13",NOUN,cité,8
121,13,9,;,;,13,Pnc,Pnc,,,"Alexis, v. 13",PUNCT,;,3
122,14,1,rices,rices,14,Adj,Adj,riche,'C/V\.C/e\,"Alexis, v. 14",ADJ,riche,10
123,14,2,hom,hom,14,N,N,,/V\,"Alexis, v. 14",NOUN,homme,8
124,14,3,fud,fud,14,Vfin,Vfin,être,C/V\,"Alexis, v. 14",VERB,être,10
125,14,4,",",",",14,Pnc,Pnc,,,"Alexis, v. 14",PUNCT,",",9
126,14,5,de,de,14,Pre,Pre,de,C/(e)\,"Alexis, v. 14",ADP,de,10
127,14,6,grant,grant,14,Adj,Adj,grand,C/V\,"Alexis, v. 14",ADJ,grand,10
