wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref,pos,lemma_ofl,lemma_score
1,1,1,mon,mon,1701,Det,Det,mon,7s,bal,C/V\,"ChrPis, ballade 17, v. 1",DET,mon,10
2,1,2,ami,ami,1701,N,N,,7s,bal,/V\.'C/V\,"ChrPis, ballade 17, v. 1",NOUN,ami,3
3,1,3,",",",",1701,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 1",PUNCT,",",9
4,1,4,ne,ne,1701,Neg,Neg,ne,7s,bal,C/(e)\,"ChrPis, ballade 17, v. 1",ADV,ne,10
5,1,5,plourez,plourez,1701,Vfin,Vfin,pleurer,7s,bal,C/V\.'C/V\,"ChrPis, ballade 17, v. 1",VERB,pleurer,10
6,1,6,plus,plus,1701,Adv,Adv,plus,7s,bal,C/V\,"ChrPis, ballade 17, v. 1",ADV,plus,10
7,1,7,!,!,1701,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 1",PUNCT,!,9
8,2,1,car,car,1702,Crd,Crd,car,7s,bal,C/V\,"ChrPis, ballade 17, v. 2",CCONJ,car,10
9,2,2,tant,tant,1702,QIs,QIs,tant,7s,bal,C/V\,"ChrPis, ballade 17, v. 2",ADV,tant,10
10,2,3,me,me,1702,Prn,Prn$$,me,7s,bal,C/(e)\,"ChrPis, ballade 17, v. 2",PRON,me,10
11,2,4,faites,faites,1702,Vfin,Vfin,faire,7s,bal,'C/V\.C/e\,"ChrPis, ballade 17, v. 2",VERB,faire,10
12,2,5,pitié,pitié,1702,N,N,,7s,bal,C/V\.'C/V\,"ChrPis, ballade 17, v. 2",NOUN,pitié,8
13,3,1,que,que,1703,Sub,Sub,que,7s,bal,C/(e)\,"ChrPis, ballade 17, v. 3",SCONJ,que,10
14,3,2,mon,mon,1703,Det,Det,mon,7s,bal,C/V\,"ChrPis, ballade 17, v. 3",DET,mon,10
15,3,3,cuer,cuer,1703,N,N,,7s,bal,C/V\,"ChrPis, ballade 17, v. 3",NOUN,coeur,3
16,3,4,se,se,1703,Prn,Prn$$,se,7s,bal,C/(e)\,"ChrPis, ballade 17, v. 3",PRON,se,10
17,3,5,rent,rent,1703,Vfin,Vfin,rendre,7s,bal,C/V\,"ChrPis, ballade 17, v. 3",VERB,rendre,10
18,3,6,conclus,conclus,1703,Vpp,Vpp,conclure,7s,bal,C/V\.'C/V\,"ChrPis, ballade 17, v. 3",VERB,conclure,10
19,4,1,a,a,1704,Pre,Pre,à,7s,bal,/V\,"ChrPis, ballade 17, v. 4",ADP,à,10
20,4,2,vostre,vostre,1704,Det,Det,votre,7s,bal,'C/V\.C/(e)\,"ChrPis, ballade 17, v. 4",DET,votre,10
21,4,3,doulce,doulce,1704,Adj,Adj,doux,7s,bal,'C/V\.C/(e)\,"ChrPis, ballade 17, v. 4",ADJ,doux,10
22,4,4,amistié,amistié,1704,N,N,,7s,bal,/V\.C/V\.'C/V\,"ChrPis, ballade 17, v. 4",NOUN,amitié,3
23,4,5,.,.,1704,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 4",PUNCT,.,9
24,5,1,reprenez,reprenez,1705,Vfin,Vfin,reprendre,7s,bal,C/V\.C/V\.'C/V\,"ChrPis, ballade 17, v. 5",VERB,reprendre,10
25,5,2,autre,autre,1705,Adj,Adj,autre,7s,bal,'/V\.C/(e)\,"ChrPis, ballade 17, v. 5",ADJ,autre,10
26,5,3,maniere,maniere,1705,N,N,,7s,bal,C/V\.'C/V\.C/(e)\,"ChrPis, ballade 17, v. 5",NOUN,manière,8
27,5,4,―,―,1705,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 5",PUNCT,―,6
28,6,1,pour,pour,1706,Pre,Pre,pour,7s,bal,C/V\,"ChrPis, ballade 17, v. 6",ADP,pour,10
29,6,2,dieu,dieu,1706,N,N,,7s,bal,C/V\,"ChrPis, ballade 17, v. 6",NOUN,dieu,8
30,6,3,",",",",1706,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 6",PUNCT,",",9
31,6,4,plus,plus,1706,Adv,Adv,plus,7s,bal,C/V\,"ChrPis, ballade 17, v. 6",ADV,plus,10
32,6,5,ne,ne,1706,Neg,Neg,ne,7s,bal,C/(e)\,"ChrPis, ballade 17, v. 6",ADV,ne,10
33,6,6,vous,vous,1706,Prn,Prn$$,vous,7s,bal,C/V\,"ChrPis, ballade 17, v. 6",PRON,vous,10
34,6,7,doulez,doulez,1706,Vfin,Vfin,douloir,7s,bal,C/V\.'C/V\,"ChrPis, ballade 17, v. 6",VERB,douloir,10
35,6,8,!,!,1706,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 6",PUNCT,!,9
36,7,1,et,et,1707,Crd,Crd,et,7s,bal,/V\,"ChrPis, ballade 17, v. 7",CCONJ,et,10
37,7,2,me,me,1707,Prn,Prn$$,me,7s,bal,C/(e)\,"ChrPis, ballade 17, v. 7",PRON,me,10
38,7,3,faites,faites,1707,Vfin,Vfin,faire,7s,bal,'C/V\.C/e\,"ChrPis, ballade 17, v. 7",VERB,faire,10
39,7,4,bonne,bonne,1707,Adj,Adj,bon,7s,bal,'C/V\.C/(e)\,"ChrPis, ballade 17, v. 7",ADJ,bon,10
40,7,5,chiere,chiere,1707,N,N,,7s,bal,'C/V\.C/(e)\,"ChrPis, ballade 17, v. 7",NOUN,chère,3
41,7,6,!,!,1707,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 7",PUNCT,!,9
42,8,1,je,je,1708,Prn,Prn$,je,7s,bal,C/(e)\,"ChrPis, ballade 17, v. 8",PRON,je,10
43,8,2,vueil,vueil,1708,Vfin,Vfin,vouloir,7s,bal,C/V\,"ChrPis, ballade 17, v. 8",VERB,vouloir,10
44,8,3,quanque,quanque,1708,Qux,Qux,quanque,7s,bal,'C/V\.C/(e)\,"ChrPis, ballade 17, v. 8",PRON,quanque,10
45,8,4,vous,vous,1708,Prn,Prn$,vous,7s,bal,C/V\,"ChrPis, ballade 17, v. 8",PRON,vous,10
46,8,5,voulez,voulez,1708,Vfin,Vfin,vouloir,7s,bal,C/V\.'C/V\,"ChrPis, ballade 17, v. 8",VERB,vouloir,10
47,8,6,.,.,1708,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 8",PUNCT,.,9
48,9,1,ne,ne,1709,Crd,Crd,ne2,7s,bal,C/(e)\,"ChrPis, ballade 17, v. 9",CCONJ,ne,10
49,9,2,plus,plus,1709,Adv,Adv,plus,7s,bal,C/V\,"ChrPis, ballade 17, v. 9",ADV,plus,10
50,9,3,ne,ne,1709,Neg,Neg,ne,7s,bal,C/(e)\,"ChrPis, ballade 17, v. 9",ADV,ne,10
51,9,4,soiez,soiez,1709,Vfin,Vfin,être,7s,bal,C/V\.'C/V\,"ChrPis, ballade 17, v. 9",VERB,être,10
52,9,5,reclus,reclus,1709,Vpp,Vpp,reclure,7s,bal,C/V\.'C/V\,"ChrPis, ballade 17, v. 9",VERB,reclure,10
53,9,6,",",",",1709,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 9",PUNCT,",",9
54,10,1,ne,ne,1710,Crd,Crd,ne2,7s,bal,C/(e)\,"ChrPis, ballade 17, v. 10",CCONJ,ne,10
55,10,2,pensif,pensif,1710,Adj,Adj,,7s,bal,C/V\.'C/V\,"ChrPis, ballade 17, v. 10",ADJ,pensif,9
56,10,3,",",",",1710,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 10",PUNCT,",",9
57,10,4,ne,ne,1710,Crd,Crd,ne2,7s,bal,C/(e)\,"ChrPis, ballade 17, v. 10",CCONJ,ne,10
58,10,5,deshaitié,deshaitié,1710,Vpp,Vpp,deshaitier,7s,bal,C/V\.C/V\.'C/V\,"ChrPis, ballade 17, v. 10",VERB,deshaitier,10
59,10,6,;,;,1710,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 10",PUNCT,;,3
60,11,1,mais,mais,1711,Crd,Crd,mais,7s,bal,C/V\,"ChrPis, ballade 17, v. 11",CCONJ,mais,10
61,11,2,de,de,1711,Pre,Pre,de,7s,bal,C/(e)\,"ChrPis, ballade 17, v. 11",ADP,de,10
62,11,3,joye,joye,1711,N,N,,7s,bal,'C/V\./(e)\,"ChrPis, ballade 17, v. 11",NOUN,joie,8
63,11,4,aprenez,aprenez,1711,Vfin,Vfin,apprendre,7s,bal,/V\.C/e\.'C/V\,"ChrPis, ballade 17, v. 11",VERB,apprendre,10
64,11,5,l',l',1711,Det,Det,le,7s,bal,C/\,"ChrPis, ballade 17, v. 11",DET,le,10
65,11,6,us,us,1711,N,N,,7s,bal,/V\,"ChrPis, ballade 17, v. 11",NOUN,us,3
66,11,7,:,:,1711,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 11",PUNCT,:,9
67,12,1,car,car,1712,Crd,Crd,car,7s,bal,C/V\,"ChrPis, ballade 17, v. 12",CCONJ,car,10
68,12,2,bien,bien,1712,Adv,Adv,bien,7s,bal,C/V\,"ChrPis, ballade 17, v. 12",ADV,bien,10
69,12,3,avez,avez,1712,Vfin,Vfin,avoir,7s,bal,/V\.'C/V\,"ChrPis, ballade 17, v. 12",VERB,avoir,10
70,12,4,exploitié,exploitié,1712,Vpp,Vpp,exploiter,7s,bal,/V\.C/V\.'C/V\,"ChrPis, ballade 17, v. 12",VERB,exploiter,10
71,13,1,vers,vers,1713,Pre,Pre,vers,7s,bal,C/V\,"ChrPis, ballade 17, v. 13",ADP,vers,10
72,13,2,amours,amours,1713,N,N,,7s,bal,/V\.'C/V\,"ChrPis, ballade 17, v. 13",NOUN,amour,8
73,13,3,qui,qui,1713,Qux,Qux,qui,7s,bal,C/V\,"ChrPis, ballade 17, v. 13",PRON,qui,10
74,13,4,n',n',1713,Neg,Neg,ne,7s,bal,C/\,"ChrPis, ballade 17, v. 13",ADV,ne,10
75,13,5,est,est,1713,Vfin,Vfin,être,7s,bal,/V\,"ChrPis, ballade 17, v. 13",VERB,être,10
76,13,6,pas,pas,1713,Neg,Neg,pas,7s,bal,C/V\,"ChrPis, ballade 17, v. 13",ADV,pas,10
77,13,7,fiere,fiere,1713,Adj,Adj,fier,7s,bal,'C/V\.C/(e)\,"ChrPis, ballade 17, v. 13",ADJ,fier,10
78,14,1,encontre,encontre,1714,PrA,PrA,encontre,7s,bal,/V\.'C/V\.C/(e)\,"ChrPis, ballade 17, v. 14",ADP,encontre,10
79,14,2,vous,vous,1714,Prn,Prn,vous,7s,bal,C/V\,"ChrPis, ballade 17, v. 14",PRON,vous,10
80,14,3,;,;,1714,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 14",PUNCT,;,3
81,14,4,or,or,1714,Adv,Adv,or,7s,bal,/V\,"ChrPis, ballade 17, v. 14",ADV,or,10
82,14,5,",",",",1714,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 14",PUNCT,",",9
83,14,6,alez,alez,1714,Vfin,Vfin,aller,7s,bal,/V\.'C/V\,"ChrPis, ballade 17, v. 14",VERB,aller,10
84,14,7,",",",",1714,Pnc,Pnc,,7s,bal,,"ChrPis, ballade 17, v. 14",PUNCT,",",9
