wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref,pos,lemma_ofl,lemma_score
1,1,1,oliver,oliver,1017,N,N,,/V\.C/V\.'C/V\,"Rol, v. 1017",NOUN,olivier,8
2,1,2,est,est,1017,Vfin,Vfin,être,/V\,"Rol, v. 1017",VERB,être,10
3,1,3,desur,desur,1017,PrA,PrA,dessur,C/V\.'C/V\,"Rol, v. 1017",ADP,dessur,10
4,1,4,un,un,1017,QIs,QIs,un,/V\,"Rol, v. 1017",DET,un,10
5,1,5,pui,pui,1017,N,N,,C/V\,"Rol, v. 1017",NOUN,puy,8
6,2,1,guardet,guardet,1018,Vfin,Vfin,garder,'C/V\.C/(e)\,"Rol, v. 1018",VERB,garder,10
7,2,2,su,su,1018,PrA,PrA,sus,C/V\,"Rol, v. 1018",ADP,sus,10
8,2,3,destre,destre,1018,Adj,Adj,dextre,'C/V\.C/(e)\,"Rol, v. 1018",ADJ,dextre,10
9,2,4,par,par,1018,Pre,Pre,par,C/V\,"Rol, v. 1018",ADP,par,10
10,2,5,mi,mi,1018,N,N,,C/V\,"Rol, v. 1018",NOUN,mi,8
11,2,6,un,un,1018,QIs,QIs,un,/V\,"Rol, v. 1018",DET,un,10
12,2,7,val,val,1018,N,N,,C/V\,"Rol, v. 1018",NOUN,val,8
13,2,8,herbus,herbus,1018,Adj,Adj,,C/V\.'C/V\,"Rol, v. 1018",ADJ,herbu,9
14,2,9,",",",",1018,Pnc,Pnc,,,"Rol, v. 1018",PUNCT,",",9
15,3,1,si,si,1019,Adv,Adv,si,C/V\,"Rol, v. 1019",ADV,si,10
16,3,2,veit,veit,1019,Vfin,Vfin,voir,C/V\,"Rol, v. 1019",VERB,voir,10
17,3,3,venir,venir,1019,Vinf,Vinf,venir,C/V\.'C/V\,"Rol, v. 1019",VERB,venir,10
18,3,4,cele,cele,1019,Dem,Dem,cil,'C/V\.C/(e)\,"Rol, v. 1019",DET,cil,10
19,3,5,gent,gent,1019,N,N,,C/V\,"Rol, v. 1019",NOUN,gent,3
20,3,6,paienur,paienur,1019,Adj,Adj,,C/V\.C/e\.'C/V\,"Rol, v. 1019",ADJ,païenor,9
21,3,7,",",",",1019,Pnc,Pnc,,,"Rol, v. 1019",PUNCT,",",9
22,4,1,sin,sin,1020,Adv+Prn,Adv+Prn$$,si.en,C/V\,"Rol, v. 1020",ADV.PRON,si.en,10
23,4,2,apelat,apelat,1020,Vfin,Vfin,appeler,/V\.C/e\.'C/V\,"Rol, v. 1020",VERB,appeler,10
24,4,3,rollant,rollant,1020,N,N,,C/V\.'C/V\,"Rol, v. 1020",PROPN|NOUN,Roland,5
25,4,4,",",",",1020,Pnc,Pnc,,,"Rol, v. 1020",PUNCT,",",9
26,4,5,sun,sun,1020,Det,Det,son,C/V\,"Rol, v. 1020",DET,son,10
27,4,6,cumpaignun,cumpaignun,1020,N,N,,C/V\.C/V\.'C/V\,"Rol, v. 1020",NOUN,compagnon,9
28,4,7,:,:,1020,Pnc,Pnc,,,"Rol, v. 1020",PUNCT,:,9
29,5,1,"""","""",1021,Pnc,Pnc,,,"Rol, v. 1021",PUNCT,"""",9
30,5,2,devers,devers,1021,PrA,PrA,devers,C/V\.'C/V\,"Rol, v. 1021",ADP,devers,10
31,5,3,espaigne,espaigne,1021,N,N,,/V\.'C/V\.C/(e)\,"Rol, v. 1021",NOUN,Espagne,5
32,5,4,vei,vei,1021,Vfin,Vfin,voir,C/V\,"Rol, v. 1021",VERB,voir,10
33,5,5,venir,venir,1021,Vinf,Vinf,venir,C/V\.'C/V\,"Rol, v. 1021",VERB,venir,10
34,5,6,tel,tel,1021,Adj,Adj,tel,C/V\,"Rol, v. 1021",ADJ,tel,10
35,5,7,bruur,bruur,1021,N,N,,C/V\.'C/V\,"Rol, v. 1021",NOUN,bruior,9
36,5,8,",",",",1021,Pnc,Pnc,,,"Rol, v. 1021",PUNCT,",",9
37,6,1,tanz,tanz,1022,QIs,QIs,tant,C/V\,"Rol, v. 1022",DET,tant,10
38,6,2,blancs,blancs,1022,Adj,Adj,blanc,C/V\,"Rol, v. 1022",ADJ,blanc,10
39,6,3,osbercs,osbercs,1022,N,N,,/V\.'C/V\,"Rol, v. 1022",NOUN,haubert,9
40,6,4,",",",",1022,Pnc,Pnc,,,"Rol, v. 1022",PUNCT,",",9
41,6,5,tanz,tanz,1022,QIs,QIs,tant,C/V\,"Rol, v. 1022",DET,tant,10
42,6,6,elmes,elmes,1022,N,N,,'/V\.C/e\,"Rol, v. 1022",NOUN,heaume,8
43,6,7,flambius,flambius,1022,Adj,Adj,,C/V\.C/V\.'C/V\,"Rol, v. 1022",ADJ,flambïos,9
44,6,8,!,!,1022,Pnc,Pnc,,,"Rol, v. 1022",PUNCT,!,9
45,7,1,icist,icist,1023,Dem,Dem,cist,/V\.'C/V\,"Rol, v. 1023",PRON,cist,10
46,7,2,ferunt,ferunt,1023,Vfin,Vfin,faire,C/V\.'C/V\,"Rol, v. 1023",VERB,faire,10
47,7,3,nos,nos,1023,Det,Det,notre,C/V\,"Rol, v. 1023",DET,notre,10
48,7,4,franceis,franceis,1023,Adj,Adj,français,C/V\.'C/V\,"Rol, v. 1023",ADJ,français,10
49,7,5,grant,grant,1023,Adj,Adj,grand,C/V\,"Rol, v. 1023",ADJ,grand,10
50,7,6,irur,irur,1023,N,N,,/V\.'C/V\,"Rol, v. 1023",NOUN,ireur,9
51,7,7,.,.,1023,Pnc,Pnc,,,"Rol, v. 1023",PUNCT,.,9
52,8,1,guenes,guenes,1024,N,N,,'C/V\.C/e\,"Rol, v. 1024",PROPN|NOUN,gent,0
53,8,2,le,le,1024,Prn,Prn$$,le,C/(e)\,"Rol, v. 1024",PRON,le,10
54,8,3,sout,sout,1024,Vfin,Vfin,savoir,C/V\,"Rol, v. 1024",VERB,savoir,10
55,8,4,",",",",1024,Pnc,Pnc,,,"Rol, v. 1024",PUNCT,",",9
56,8,5,li,li,1024,Det,Det,le,C/V\,"Rol, v. 1024",DET,le,10
57,8,6,fel,fel,1024,Adj,Adj,félon,C/V\,"Rol, v. 1024",ADJ,félon,10
58,8,7,",",",",1024,Pnc,Pnc,,,"Rol, v. 1024",PUNCT,",",9
59,8,8,li,li,1024,Det,Det,le,C/V\,"Rol, v. 1024",DET,le,10
60,8,9,traitur,traitur,1024,N,N,,C/V\.C/V\.'C/V\,"Rol, v. 1024",NOUN,traître,9
61,8,10,",",",",1024,Pnc,Pnc,,,"Rol, v. 1024",PUNCT,",",9
62,9,1,ki,ki,1025,Qux,Qux,qui,C/V\,"Rol, v. 1025",PRON,qui,10
63,9,2,nus,nus,1025,Prn,Prn$$,nous,C/V\,"Rol, v. 1025",PRON,nous,10
64,9,3,jugat,jugat,1025,Vfin,Vfin,,C/V\.'C/V\,"Rol, v. 1025",VERB,juger,9
65,9,4,devant,devant,1025,PrA,PrA,devant,C/V\.'C/V\,"Rol, v. 1025",ADP,devant,10
66,9,5,l',l',1025,Det,Det,le,C/\,"Rol, v. 1025",DET,le,10
67,9,6,empereur,empereur,1025,N,N,,/V\.C/V\.C/(V)\.'/V\,"Rol, v. 1025",NOUN,empereur,8
68,9,7,.,.,1025,Pnc,Pnc,,,"Rol, v. 1025",PUNCT,.,9
69,10,1,-,-,1026,Pnc,Pnc,,,"Rol, v. 1026",PUNCT,-,9
70,10,2,tais,tais,1026,Vfin,Vfin,taire,C/V\,"Rol, v. 1026",VERB,taire,10
71,10,3,",",",",1026,Pnc,Pnc,,,"Rol, v. 1026",PUNCT,",",9
72,10,4,oliver,oliver,1026,N,N,,/V\.C/V\.'C/V\,"Rol, v. 1026",NOUN,olivier,8
73,10,5,",",",",1026,Pnc,Pnc,,,"Rol, v. 1026",PUNCT,",",9
74,10,6,li,li,1026,Det,Det,le,C/V\,"Rol, v. 1026",DET,le,10
75,10,7,quens,quens,1026,N,N,,C/V\,"Rol, v. 1026",NOUN,comte,8
