wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,qui,qui,PROCON,1,Qux,Qux,qui,C/V\,PRON,qui,10,,
2,1,2,le,le,DET:def:obj:masc:sg,1,Det,Det,le,C/(e)\,DET,le,10,,
3,1,3,bien,bien,NOM:obj:masc:sg,1,N,N,bien,C/V\,NOUN,bien,10,,
4,1,4,set,set,VER:pres:3:sg,1,Vfin,Vfin,savoir,C/V\,VERB,savoir,10,,
5,1,5,dire,dire,VER:infi,1,Vinf,Vinf,dire,'C/V\.C/(e)\,VERB,dire,10,,
6,1,6,le,le,PRO:pers:obj:3:masc:sg:unb,1,Prn,Prn$$,le,C/(e)\,PRON,le,10,,
7,1,7,doit,doit,VER:pres:3:sg,1,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,,
8,2,1,s,s,PROCON,2,Sub,Sub,si3,C/\,SCONJ,si,10,,
9,2,2,il,il,PRO:pers:suj:3:masc:sg:unb,2,Prn,Prn$,il,/V\,PRON,il,10,,
10,2,3,ne,ne,PRO:clit,2,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
11,2,4,le,le,PRO:pers:obj:3:masc:sg:unb,2,Prn,Prn$$,le,C/(e)\,PRON,le,10,,
12,2,5,dist,dist,VER:pres:3:sg,2,Vfin,Vfin,dire,C/V\,VERB,dire,10,,
13,2,6,pour,pour,PRE,2,Pre,Pre,pour,C/V\,ADP,pour,10,,
14,2,7,lui,lui,PRO:pers:obj:3:masc:sg:bet,2,Prn,Prn,lui,C/V\,PRON,lui,10,,
15,2,8,le,le,DET:def:obj:masc:sg,2,Det,Det,le,C/(e)\,DET,le,10,,
16,2,9,doit,doit,NOM:obj:masc:sg,2,N,N,,C/V\,NOUN,doigt,3,,
