wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,ahi,ahi,EXC,1,Exc,Exc,,/V\.'C/V\,INTJ,aïe,5,,
2,1,2,!,!,PON,1,Pnc,Pnc,,,PUNCT,!,9,,
3,1,3,ahi,ahi,EXC,1,Exc,Exc,,/V\.'C/V\,INTJ,aïe,5,,
4,1,4,!,!,PON,1,Pnc,Pnc,,,PUNCT,!,9,,
5,1,5,diex,diex,NOM:suj:masc:sg,1,N,N,,C/V\,NOUN,dieu,3,,
6,1,6,rois,rois,NOM:suj:masc:sg,1,N,N,,C/V\,NOUN,roi,3,,
7,1,7,de,de,PRE,1,Pre,Pre,de,C/(e)\,ADP,de,10,,
8,1,8,gloire,gloire,NOM:obj:femi:sg,1,N,N,,'C/V\.C/(e)\,NOUN,gloire,8,,
9,2,1,tant,tant,ADV,2,QIs,QIs,tant,C/V\,ADV,tant,10,,
10,2,2,vous,vous,PRO:pers:2:pl,2,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
11,2,3,ai,ai,VER:pres:1:sg,2,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
12,2,4,eu,eu,VER:pper:masc:sg,2,Vpp,Vpp,avoir,/(V)\.'/V\,VERB,avoir,10,,
13,2,5,en,en,PRE,2,Pre,Pre,en,/V\,ADP,en,10,,
14,2,6,memoire,memoire,NOM:obj:femi:sg,2,N,N,,C/V\.'C/V\.C/(e)\,NOUN,mémoire,8,,
15,3,1,tout,tout,PRO:ind:obj:masc:sg,3,QIs,QIs,tout,C/V\,PRON,tout,10,,
16,3,2,ai,ai,VER:pres:1:sg,3,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
17,3,3,doné,doné,VER:pper:masc:sg,3,Vpp,Vpp,donner,C/V\.'C/V\,VERB,donner,10,,
18,3,4,et,et,CON:coord,3,Crd,Crd,et,/V\,CCONJ,et,10,,
19,3,5,despendu,despendu,VER:pper:masc:sg,3,Vpp,Vpp,dépendre,C/V\.C/V\.'C/V\,VERB,dépendre,10,,
20,4,1,et,et,CON:coord,4,Crd,Crd,et,/V\,CCONJ,et,10,,
21,4,2,tout,tout,PRO:ind:obj:masc:sg,4,QIs,QIs,tout,C/V\,PRON,tout,10,,
22,4,3,ai,ai,VER:pres:1:sg,4,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
23,4,4,aus,aus,PREDET:a:obj:masc:pl,4,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,,
24,4,5,povres,povres,ADJ:obj:masc:pl,4,Adj,Adj,pauvre,'C/V\.C/e\,ADJ,pauvre,10,,
25,4,6,tendu,tendu,VER:pper:masc:sg,4,Vpp,Vpp,tendre,C/V\.'C/V\,VERB,tendre,10,,
26,4,7,:,:,PON,4,Pnc,Pnc,,,PUNCT,:,9,,
27,5,1,ne,ne,PRO:clit,5,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
28,5,2,m',m',PRO:pers:obj:1:sg:unb,5,Prn,Prn$$,me,C/\,PRON,me,10,,
29,5,3,est,est,VER:pres:3:sg,5,Vfin,Vfin,être,/V\,VERB,être,10,,
30,5,4,remez,remez,VER:pper:masc:sg,5,Vpp,Vpp,remanoir,C/V\.'C/V\,VERB,remanoir,10,,
